,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,1760002465656591.0,15691012.0,10238.0
1,1760002465656794.0,15718252.0,13931.0
2,1760002465656978.0,15741680.0,10138.0
3,1760002465657155.0,15765232.0,10264.0
4,1760002465657336.0,15792472.0,13926.0
5,1760002465657512.0,15815952.0,10186.0
6,1760002465657861.0,15834000.0,4797.0
7,1760002465658046.0,15857324.0,10088.0
8,1760002465658219.0,15884564.0,13927.0
9,1760002465658468.0,15907964.0,10114.0
10,1760002465658656.0,15931368.0,10112.0
11,1760002465658829.0,15958616.0,13930.0
12,1760002465659000.0,15981992.0,10087.0
13,1760002465659164.0,16000068.0,4817.0
14,1760002465659337.0,16023632.0,10332.0
15,1760002465659510.0,16047100.0,10186.0
16,1760002465659675.0,16065152.0,4792.0
17,1760002465659848.0,16088476.0,10086.0
18,1760002465660022.0,16106500.0,4771.0
19,1760002465660191.0,16125096.0,5388.0
20,1760002465660363.0,16143744.0,5435.0
21,1760002465660535.0,16170940.0,13933.0
22,1760002465660705.0,16194416.0,10187.0
23,1760002465660870.0,16212440.0,4765.0
24,1760002465661040.0,16235760.0,10086.0
25,1760002465661211.0,16253812.0,4798.0
26,1760002465661385.0,16277212.0,10161.0
27,1760002465661550.0,16295264.0,4791.0
28,1760002465661722.0,16318660.0,10160.0
29,1760002465661886.0,16336688.0,4772.0
30,1760002465662061.0,16360088.0,10160.0
31,1760002465662227.0,16378212.0,4865.0
32,1760002465662398.0,16401508.0,10061.0
33,1760002465662564.0,16419524.0,4765.0
34,1760002465662736.0,16442876.0,10114.0
35,1760002465662908.0,16470116.0,13927.0
36,1760002465663083.0,16493636.0,10233.0
37,1760002465663247.0,16511656.0,4764.0
38,1760002465663427.0,16535076.0,10186.0
39,1760002465663595.0,16553096.0,4764.0
40,1760002465663769.0,16576412.0,10087.0
41,1760002465663950.0,16603656.0,13930.0
42,1760002465664126.0,16627176.0,10238.0
43,1760002465664298.0,16654424.0,13930.0
44,1760002465664471.0,16678020.0,10309.0
45,1760002465664644.0,16705256.0,13926.0
46,1760002465664822.0,16728808.0,10263.0
47,1760002465664998.0,16756048.0,13925.0
48,1760002465665172.0,16779552.0,10213.0
49,1760002465665350.0,16803104.0,10264.0
50,1760002465665527.0,16826608.0,10215.0
51,1760002465665706.0,16850236.0,10340.0
52,1760002465665880.0,16873864.0,10339.0
53,1760002465666058.0,16897416.0,10264.0
54,1760002465666227.0,16916016.0,5342.0
55,1760002465666438.0,16939412.0,10161.0
56,1760002465666626.0,16957436.0,4772.0
57,1760002465666840.0,16980760.0,10087.0
58,1760002465667033.0,16998780.0,4765.0
59,1760002465667209.0,17025996.0,13957.0
60,1760002465667387.0,17049448.0,10163.0
61,1760002465667566.0,17067468.0,4765.0
62,1760002465667733.0,17090892.0,10186.0
63,1760002465667921.0,17114300.0,10113.0
64,1760002465668099.0,17133024.0,5467.0
65,1760002465668367.0,17156372.0,10111.0
66,1760002465668561.0,17174520.0,4898.0
67,1760002465668736.0,17201712.0,13927.0
68,1760002465668910.0,17225160.0,10161.0
69,1760002465669079.0,17243188.0,4771.0
70,1760002465669314.0,17270372.0,13927.0
71,1760002465669514.0,17293776.0,10114.0
72,1760002465669747.0,17312548.0,5516.0
73,1760002465669929.0,17335820.0,10036.0
74,1760002465670099.0,17359300.0,10188.0
75,1760002465670264.0,17378000.0,5442.0
76,1760002465670496.0,17401292.0,10061.0
77,1760002465670797.0,17424844.0,10264.0
78,1760002465670974.0,17442868.0,4771.0
79,1760002465671142.0,17466156.0,10061.0
80,1760002465671305.0,17484180.0,4765.0
81,1760002465671483.0,17507576.0,10159.0
82,1760002465671650.0,17525572.0,4745.0
83,1760002465671816.0,17548924.0,10111.0
84,1760002465671993.0,17567624.0,5441.0
85,1760002465672237.0,17590948.0,10086.0
86,1760002465672446.0,17614404.0,10164.0
87,1760002465672621.0,17637880.0,10189.0
88,1760002465672789.0,17661304.0,10138.0
89,1760002465672956.0,17684812.0,10214.0
90,1760002465673124.0,17708216.0,10112.0
91,1760002465673287.0,17726240.0,4771.0
92,1760002465673501.0,17749560.0,10086.0
93,1760002465673685.0,17773012.0,10164.0
94,1760002465673849.0,17791040.0,4769.0
95,1760002465674016.0,17814332.0,10064.0
96,1760002465674304.0,17837760.0,10138.0
97,1760002465674490.0,17861188.0,10139.0
98,1760002465674696.0,17884616.0,10136.0
99,1760002465674895.0,17908068.0,10164.0
100,1760002465675126.0,17926116.0,4797.0
101,1760002465675307.0,17949440.0,10086.0
102,1760002465675493.0,17967464.0,4764.0
103,1760002465675708.0,17990816.0,10112.0
104,1760002465675895.0,18014272.0,10165.0
105,1760002465676098.0,18032288.0,4765.0
106,1760002465676276.0,18055604.0,10085.0
107,1760002465676451.0,18073632.0,4770.0
108,1760002465676625.0,18096896.0,10037.0
109,1760002465676856.0,18120348.0,10164.0
110,1760002465677075.0,18138368.0,4764.0
111,1760002465677298.0,18161696.0,10092.0
112,1760002465677692.0,18179712.0,4765.0
113,1760002465678011.0,18203064.0,10113.0
114,1760002465678360.0,18226492.0,10138.0
115,1760002465678536.0,18249920.0,10139.0
116,1760002465678709.0,18273332.0,10120.0
117,1760002465678879.0,18296752.0,10138.0
118,1760002465679040.0,18314800.0,4791.0
119,1760002465679206.0,18338096.0,10060.0
120,1760002465679366.0,18356120.0,4771.0
121,1760002465679532.0,18379416.0,10064.0
122,1760002465679697.0,18402844.0,10139.0
123,1760002465679902.0,18426272.0,10139.0
124,1760002465680080.0,18449700.0,10138.0
125,1760002465680247.0,18473128.0,10138.0
126,1760002465680407.0,18491152.0,4771.0
127,1760002465680574.0,18514496.0,10110.0
128,1760002465680740.0,18532520.0,4765.0
129,1760002465681009.0,18555836.0,10085.0
130,1760002465681332.0,18573860.0,4765.0
131,1760002465681631.0,18597208.0,10112.0
132,1760002465681929.0,18620616.0,10113.0
133,1760002465682236.0,18644024.0,10118.0
134,1760002465682482.0,18662064.0,4790.0
135,1760002465682659.0,18685488.0,10185.0
136,1760002465682827.0,18703536.0,4790.0
137,1760002465683010.0,18726884.0,10112.0
138,1760002465683181.0,18744904.0,4765.0
139,1760002465683354.0,18768224.0,10086.0
140,1760002465683538.0,18786272.0,4797.0
141,1760002465683720.0,18809616.0,10110.0
142,1760002465683952.0,18827640.0,4765.0
143,1760002465684138.0,18854860.0,13959.0
144,1760002465684309.0,18878284.0,10137.0
145,1760002465684471.0,18896308.0,4765.0
146,1760002465684636.0,18919656.0,10111.0
147,1760002465684795.0,18937680.0,4771.0
148,1760002465684965.0,18961028.0,10111.0
149,1760002465685135.0,18979052.0,4765.0
150,1760002465685305.0,19002352.0,10071.0
151,1760002465685476.0,19025752.0,10113.0
152,1760002465685648.0,19049108.0,10064.0
153,1760002465685825.0,19072512.0,10112.0
154,1760002465686045.0,19090560.0,4791.0
155,1760002465686220.0,19113832.0,10040.0
156,1760002465686391.0,19137236.0,10112.0
157,1760002465686562.0,19160668.0,10139.0
158,1760002465686736.0,19184048.0,10088.0
159,1760002465686909.0,19207428.0,10088.0
160,1760002465687119.0,19225448.0,4771.0
161,1760002465687351.0,19248744.0,10061.0
162,1760002465687605.0,19266768.0,4764.0
163,1760002465687900.0,19290064.0,10070.0
164,1760002465688176.0,19308084.0,4764.0
165,1760002465688496.0,19331384.0,10063.0
166,1760002465688792.0,19349408.0,4771.0
167,1760002465689080.0,19372732.0,10085.0
168,1760002465689357.0,19390756.0,4764.0
169,1760002465689644.0,19414036.0,10045.0
170,1760002465689929.0,19437456.0,10138.0
171,1760002465690215.0,19460888.0,10139.0
172,1760002465690499.0,19484344.0,10166.0
173,1760002465690794.0,19507744.0,10112.0
174,1760002465691069.0,19525740.0,4739.0
175,1760002465691367.0,19549060.0,10087.0
176,1760002465691653.0,19567084.0,4764.0
177,1760002465691946.0,19590360.0,10039.0
178,1760002465692310.0,19608480.0,4871.0
179,1760002465692489.0,19631728.0,10012.0
180,1760002465692650.0,19649776.0,4790.0
181,1760002465692815.0,19673072.0,10066.0
182,1760002465692978.0,19691096.0,4765.0
183,1760002465693142.0,19714396.0,10063.0
184,1760002465693306.0,19737800.0,10113.0
185,1760002465693465.0,19755796.0,4744.0
186,1760002465693711.0,19779096.0,10065.0
187,1760002465693998.0,19797120.0,4765.0
188,1760002465694238.0,19820688.0,10336.0
189,1760002465694488.0,19844240.0,10262.0
190,1760002465694721.0,19862240.0,4745.0
191,1760002465694963.0,19885540.0,10064.0
192,1760002465695203.0,19908972.0,10139.0
193,1760002465695434.0,19926996.0,4770.0
194,1760002465695673.0,19950320.0,10087.0
195,1760002465695906.0,19968316.0,4739.0
196,1760002465696146.0,19991616.0,10065.0
197,1760002465696376.0,20009636.0,4765.0
198,1760002465696615.0,20032936.0,10064.0
199,1760002465696851.0,20050964.0,4771.0
200,1760002465697101.0,20074284.0,10087.0
201,1760002465697346.0,20092308.0,4764.0
202,1760002465697588.0,20115608.0,10062.0
203,1760002465697825.0,20133628.0,4770.0
204,1760002465698075.0,20156928.0,10065.0
205,1760002465698326.0,20180408.0,10189.0
206,1760002465698570.0,20198380.0,4722.0
207,1760002465698813.0,20221736.0,10113.0
208,1760002465699055.0,20245264.0,10240.0
209,1760002465699297.0,20263260.0,4739.0
210,1760002465699543.0,20286584.0,10087.0
211,1760002465699775.0,20304580.0,4739.0
212,1760002465700019.0,20327908.0,10087.0
213,1760002465700254.0,20346036.0,4866.0
214,1760002465700431.0,20369360.0,10086.0
215,1760002465700592.0,20387360.0,4739.0
216,1760002465700757.0,20410688.0,10088.0
217,1760002465700924.0,20434144.0,10162.0
218,1760002465701084.0,20452144.0,4744.0
219,1760002465701254.0,20475472.0,10087.0
220,1760002465701414.0,20493468.0,4739.0
221,1760002465701579.0,20520644.0,13924.0
222,1760002465701743.0,20547880.0,13926.0
223,1760002465701907.0,20571328.0,10164.0
224,1760002465702069.0,20589324.0,4745.0
225,1760002465702235.0,20612648.0,10086.0
226,1760002465702395.0,20630696.0,4790.0
227,1760002465702559.0,20653972.0,10038.0
228,1760002465702717.0,20671996.0,4765.0
229,1760002465702883.0,20695296.0,10064.0
230,1760002465703041.0,20713348.0,4797.0
231,1760002465703204.0,20736624.0,10038.0
232,1760002465703364.0,20754668.0,4791.0
233,1760002465703532.0,20777944.0,10045.0
234,1760002465703693.0,20795964.0,4765.0
235,1760002465703856.0,20819240.0,10038.0
236,1760002465704015.0,20837264.0,4771.0
237,1760002465704177.0,20860540.0,10039.0
238,1760002465704337.0,20878560.0,4765.0
239,1760002465704504.0,20901860.0,10070.0
240,1760002465704661.0,20919860.0,4739.0
241,1760002465704825.0,20943136.0,10039.0
242,1760002465704981.0,20961160.0,4771.0
243,1760002465705144.0,20984436.0,10038.0
244,1760002465705305.0,21002460.0,4764.0
245,1760002465705468.0,21025816.0,10122.0
246,1760002465705626.0,21043804.0,4739.0
247,1760002465705792.0,21067080.0,10039.0
248,1760002465705957.0,21090512.0,10139.0
249,1760002465706117.0,21108464.0,4697.0
250,1760002465706283.0,21131808.0,10113.0
251,1760002465706442.0,21149808.0,4738.0
252,1760002465706605.0,21176988.0,13925.0
253,1760002465706823.0,21200536.0,10264.0
254,1760002465706995.0,21218536.0,4744.0
255,1760002465707166.0,21241804.0,10044.0
256,1760002465707325.0,21259852.0,4791.0
257,1760002465707491.0,21283128.0,10040.0
258,1760002465707651.0,21301152.0,4770.0
259,1760002465707814.0,21324452.0,10065.0
260,1760002465707987.0,21342448.0,4738.0
261,1760002465708154.0,21365752.0,10070.0
262,1760002465708457.0,21383776.0,4764.0
263,1760002465708631.0,21407076.0,10064.0
264,1760002465708791.0,21425052.0,4724.0
265,1760002465708962.0,21448328.0,10039.0
266,1760002465709122.0,21466352.0,4770.0
267,1760002465709287.0,21489624.0,10045.0
268,1760002465709492.0,21507648.0,4765.0
269,1760002465709689.0,21530972.0,10091.0
270,1760002465709894.0,21554400.0,10137.0
271,1760002465710059.0,21572348.0,4697.0
272,1760002465710226.0,21595720.0,10138.0
273,1760002465710385.0,21613720.0,4739.0
274,1760002465710549.0,21640880.0,13904.0
275,1760002465710715.0,21664336.0,10165.0
276,1760002465710880.0,21682308.0,4718.0
277,1760002465711045.0,21705956.0,10412.0
278,1760002465711210.0,21733196.0,13933.0
279,1760002465711374.0,21756672.0,10189.0
280,1760002465711532.0,21774628.0,4692.0
281,1760002465711699.0,21797952.0,10090.0
282,1760002465711858.0,21815924.0,4719.0
283,1760002465712021.0,21839224.0,10063.0
284,1760002465712180.0,21857248.0,4772.0
285,1760002465712344.0,21880548.0,10063.0
286,1760002465712506.0,21898572.0,4766.0
287,1760002465712669.0,21921920.0,10114.0
288,1760002465712826.0,21939896.0,4718.0
289,1760002465712989.0,21963220.0,10087.0
290,1760002465713147.0,21981248.0,4770.0
291,1760002465713312.0,22004868.0,10385.0
292,1760002465713476.0,22032108.0,13926.0
293,1760002465713645.0,22055536.0,10140.0
294,1760002465713803.0,22073512.0,4717.0
295,1760002465713967.0,22096840.0,10086.0
296,1760002465714126.0,22114816.0,4718.0
297,1760002465714292.0,22138144.0,10086.0
298,1760002465714457.0,22156124.0,4724.0
