,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,13813140.0,13813140.0,8347.0
1,13844696.0,13844696.0,8329.0
2,13876216.0,13876216.0,8301.0
3,13907712.0,13907712.0,8270.0
4,13939164.0,13939164.0,8232.0
5,13970492.0,13970492.0,8103.0
6,14001640.0,14001640.0,7933.0
7,14032588.0,14032588.0,7729.0
8,14063288.0,14063288.0,7482.0
9,14093672.0,14093672.0,7168.0
10,14123736.0,14123736.0,6842.0
11,14153432.0,14153432.0,6487.0
12,14182740.0,14182740.0,6100.0
13,14211640.0,14211640.0,5686.0
14,14240120.0,14240120.0,5272.0
15,14268136.0,14268136.0,4816.0
16,14295688.0,14295688.0,4351.0
17,14322780.0,14322780.0,3888.0
18,14349376.0,14349376.0,3400.0
19,14375480.0,14375480.0,2918.0
20,14401156.0,14401156.0,2488.0
21,14426324.0,14426324.0,1978.0
22,14450928.0,14450928.0,1417.0
23,14475076.0,14475076.0,968.0
24,14498548.0,14498548.0,345.0
