,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds),pulsetime/2 in seconds,Distance Estimate in cm,Actual In cm
752,1.76E+15,21985008,577,0.0002885,10.4918795,10
753,1.76E+15,22008716,577,0.0002885,10.4918795,10
754,1.76E+15,22032448,594,0.000297,10.800999,10
755,1.76E+15,22056164,591,0.0002955,10.7464485,10
756,1.76E+15,22079888,591,0.0002955,10.7464485,10
757,1.76E+15,22103612,591,0.0002955,10.7464485,10
758,1.76E+15,22127340,597,0.0002985,10.8555495,10
759,1.76E+15,22151068,597,0.0002985,10.8555495,10
760,1.76E+15,22174796,591,0.0002955,10.7464485,10
761,1.76E+15,22198520,591,0.0002955,10.7464485,10
762,1.76E+15,22222248,591,0.0002955,10.7464485,10
763,1.76E+15,22245976,591,0.0002955,10.7464485,10
764,1.76E+15,22269704,597,0.0002985,10.8555495,10
765,1.76E+15,22293432,597,0.0002985,10.8555495,10
766,1.76E+15,22317164,592,0.000296,10.764632,10
767,1.76E+15,22340884,591,0.0002955,10.7464485,10
768,1.76E+15,22364608,591,0.0002955,10.7464485,10
769,1.76E+15,22388336,591,0.0002955,10.7464485,10
770,1.76E+15,22412084,617,0.0003085,11.2192195,10
771,1.76E+15,22435748,537,0.0002685,9.7645395,10
772,1.76E+15,22459424,538,0.000269,9.782723,10
773,1.76E+15,22483088,531,0.0002655,9.6554385,10
774,1.76E+15,22506744,531,0.0002655,9.6554385,10
775,1.76E+15,22530416,532,0.000266,9.673622,10
776,1.76E+15,22554080,531,0.0002655,9.6554385,10
777,1.76E+15,22577744,531,0.0002655,9.6554385,10
778,1.76E+15,22601416,538,0.000269,9.782723,10
779,1.76E+15,22625080,537,0.0002685,9.7645395,10
780,1.76E+15,22648748,537,0.0002685,9.7645395,10
781,1.76E+15,22672420,537,0.0002685,9.7645395,10
782,1.76E+15,22696080,531,0.0002655,9.6554385,10
783,1.76E+15,22719732,531,0.0002655,9.6554385,10
784,1.76E+15,22743400,531,0.0002655,9.6554385,10
785,1.76E+15,22767064,531,0.0002655,9.6554385,10
786,1.76E+15,22790812,612,0.000306,11.128302,10
787,1.76E+15,22814564,617,0.0003085,11.2192195,10
788,1.76E+15,22838320,617,0.0003085,11.2192195,10
789,1.76E+15,22862060,611,0.0003055,11.1101185,10
790,1.76E+15,22885808,611,0.0003055,11.1101185,10
791,1.76E+15,22909560,611,0.0003055,11.1101185,10
792,1.76E+15,22933304,617,0.0003085,11.2192195,10
793,1.76E+15,22957052,617,0.0003085,11.2192195,10
794,1.76E+15,22980820,631,0.0003155,11.4737885,10
795,1.76E+15,23004588,631,0.0003155,11.4737885,10
796,1.76E+15,23028360,631,0.0003155,11.4737885,10
797,1.76E+15,23052124,637,0.0003185,11.5828895,10
798,1.76E+15,23075896,637,0.0003185,11.5828895,10
799,1.76E+15,23099580,551,0.0002755,10.0191085,10
800,1.76E+15,23123340,631,0.0003155,11.4737885,10
801,1.76E+15,23147104,631,0.0003155,11.4737885,10
802,1.76E+15,23170872,637,0.0003185,11.5828895,10
803,1.76E+15,23194560,557,0.0002785,10.1282095,10
804,1.76E+15,23218328,631,0.0003155,11.4737885,10
805,1.76E+15,23242012,551,0.0002755,10.0191085,10
806,1.76E+15,23265696,551,0.0002755,10.0191085,10
807,1.76E+15,23289460,631,0.0003155,11.4737885,10
808,1.76E+15,23313232,637,0.0003185,11.5828895,10
809,1.76E+15,23336920,557,0.0002785,10.1282095,10
810,1.76E+15,23360684,631,0.0003155,11.4737885,10
811,1.76E+15,23384436,631,0.0003155,11.4737885,10
812,1.76E+15,23408204,631,0.0003155,11.4737885,10
813,1.76E+15,23431976,637,0.0003185,11.5828895,10
814,1.76E+15,23455664,557,0.0002785,10.1282095,10
815,1.76E+15,23479352,557,0.0002785,10.1282095,10
816,1.76E+15,23503036,551,0.0002755,10.0191085,10
817,1.76E+15,23526796,631,0.0003155,11.4737885,10
818,1.76E+15,23550484,551,0.0002755,10.0191085,10
819,1.76E+15,23574252,637,0.0003185,11.5828895,10
820,1.76E+15,23598020,637,0.0003185,11.5828895,10
821,1.76E+15,23621708,551,0.0002755,10.0191085,10
822,1.76E+15,23645468,631,0.0003155,11.4737885,10
823,1.76E+15,23669240,631,0.0003155,11.4737885,10
824,1.76E+15,23693004,637,0.0003185,11.5828895,10
825,1.76E+15,23716772,637,0.0003185,11.5828895,10
826,1.76E+15,23740540,631,0.0003155,11.4737885,10
827,1.76E+15,23764224,552,0.000276,10.037292,10
828,1.76E+15,23787912,551,0.0002755,10.0191085,10
829,1.76E+15,23811676,631,0.0003155,11.4737885,10
830,1.76E+15,23835444,637,0.0003185,11.5828895,10
831,1.76E+15,23859220,637,0.0003185,11.5828895,10
