,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds),PluseTime / 2 in seconds,Estimated Distance,In Inches,Rounded,Actual Length (in inches),In meters (m)
1440,1.75999E+15,47338092,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1441,1.75999E+15,47362720,1440,0.00072,0.2618424,10.30873529,10,10,0.254000508
1442,1.75999E+15,47387340,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1443,1.75999E+15,47411956,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1444,1.75999E+15,47436576,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1445,1.75999E+15,47461200,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1446,1.75999E+15,47485820,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1447,1.75999E+15,47510440,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1448,1.75999E+15,47535060,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1449,1.75999E+15,47559688,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1450,1.75999E+15,47584308,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1451,1.75999E+15,47608920,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1452,1.75999E+15,47633536,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1453,1.75999E+15,47658152,1434,0.000717,0.26075139,10.26578222,10,10,0.254000508
1454,1.75999E+15,47682772,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1455,1.75999E+15,47707392,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1456,1.75999E+15,47732012,1434,0.000717,0.26075139,10.26578222,10,10,0.254000508
1457,1.75999E+15,47756636,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1458,1.75999E+15,47781260,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1459,1.75999E+15,47805876,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1460,1.75999E+15,47830496,1435,0.0007175,0.260933225,10.27294107,10,10,0.254000508
1461,1.75999E+15,47855116,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1462,1.75999E+15,47879740,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1463,1.75999E+15,47904356,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1464,1.75999E+15,47928980,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1465,1.75999E+15,47953604,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1466,1.75999E+15,47978224,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1467,1.75999E+15,48002844,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1468,1.75999E+15,48027464,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1469,1.75999E+15,48052084,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1470,1.75999E+15,48076704,1440,0.00072,0.2618424,10.30873529,10,10,0.254000508
1471,1.75999E+15,48101324,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1472,1.75999E+15,48125944,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1473,1.75999E+15,48150572,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1474,1.75999E+15,48175184,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1475,1.75999E+15,48199800,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1476,1.75999E+15,48224412,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1477,1.75999E+15,48249024,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1478,1.75999E+15,48273644,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1479,1.75999E+15,48298264,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1480,1.75999E+15,48322888,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1481,1.75999E+15,48347504,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1482,1.75999E+15,48372124,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1483,1.75999E+15,48396744,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1484,1.75999E+15,48421364,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1485,1.75999E+15,48445988,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1486,1.75999E+15,48470604,1438,0.000719,0.26147873,10.2944176,10,10,0.254000508
1487,1.75999E+15,48495228,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1488,1.75999E+15,48519856,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1489,1.75999E+15,48544476,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1490,1.75999E+15,48569096,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1491,1.75999E+15,48593720,1440,0.00072,0.2618424,10.30873529,10,10,0.254000508
1492,1.75999E+15,48618344,1440,0.00072,0.2618424,10.30873529,10,10,0.254000508
1493,1.75999E+15,48642960,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1494,1.75999E+15,48667576,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1495,1.75999E+15,48692196,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1496,1.75999E+15,48716824,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1497,1.75999E+15,48741440,1435,0.0007175,0.260933225,10.27294107,10,10,0.254000508
1498,1.75999E+15,48766052,1434,0.000717,0.26075139,10.26578222,10,10,0.254000508
1499,1.75999E+15,48790668,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1500,1.75999E+15,48815284,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1501,1.75999E+15,48839904,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1502,1.75999E+15,48864528,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1503,1.75999E+15,48889144,1432,0.000716,0.26038772,10.25146454,10,10,0.254000508
1504,1.75999E+15,48913764,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1505,1.75999E+15,48938384,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1506,1.75999E+15,48963004,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1507,1.75999E+15,48987624,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1508,1.75999E+15,49012244,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1509,1.75999E+15,49036864,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1510,1.75999E+15,49061488,1440,0.00072,0.2618424,10.30873529,10,10,0.254000508
1511,1.75999E+15,49086116,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1512,1.75999E+15,49110736,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1513,1.75999E+15,49135360,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1514,1.75999E+15,49159980,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1515,1.75999E+15,49184600,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1516,1.75999E+15,49209220,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1517,1.75999E+15,49233840,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1518,1.75999E+15,49258456,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1519,1.75999E+15,49283084,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1520,1.75999E+15,49307704,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1521,1.75999E+15,49332316,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1522,1.75999E+15,49356932,1434,0.000717,0.26075139,10.26578222,10,10,0.254000508
1523,1.75999E+15,49381544,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1524,1.75999E+15,49406164,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1525,1.75999E+15,49430784,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1526,1.75999E+15,49455404,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1527,1.75999E+15,49480028,1433,0.0007165,0.260569555,10.25862338,10,10,0.254000508
1528,1.75999E+15,49504640,1432,0.000716,0.26038772,10.25146454,10,10,0.254000508
1529,1.75999E+15,49529260,1434,0.000717,0.26075139,10.26578222,10,10,0.254000508
1530,1.75999E+15,49553880,1434,0.000717,0.26075139,10.26578222,10,10,0.254000508
1531,1.75999E+15,49578500,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1532,1.75999E+15,49603120,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1533,1.75999E+15,49627740,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1534,1.75999E+15,49652360,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1535,1.75999E+15,49676980,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1536,1.75999E+15,49701596,1440,0.00072,0.2618424,10.30873529,10,10,0.254000508
1537,1.75999E+15,49726220,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
1538,1.75999E+15,49750836,1439,0.0007195,0.261660565,10.30157644,10,10,0.254000508
