,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,1760000597432138.0,16300.0,13932.0
1,1760000597432321.0,53384.0,13924.0
2,1760000597432484.0,90460.0,13925.0
3,1760000597432651.0,127544.0,13923.0
4,1760000597432817.0,164680.0,13931.0
5,1760000597432981.0,201820.0,13925.0
6,1760000597433150.0,238944.0,13924.0
7,1760000597433438.0,276080.0,13925.0
8,1760000597433705.0,313220.0,13929.0
9,1760000597433993.0,350360.0,13925.0
10,1760000597434170.0,387488.0,13925.0
11,1760000597434334.0,424628.0,13924.0
12,1760000597434497.0,461764.0,13932.0
13,1760000597458050.0,498900.0,13922.0
14,1760000597494901.0,536024.0,13924.0
15,1760000597531727.0,573160.0,13923.0
16,1760000597568582.0,610300.0,13929.0
17,1760000597605458.0,647440.0,13923.0
18,1760000597642351.0,684580.0,13924.0
19,1760000597679201.0,721720.0,13931.0
20,1760000597719837.0,758860.0,13925.0
21,1760000597756690.0,795996.0,13925.0
22,1760000597793653.0,833132.0,13924.0
23,1760000597830545.0,870268.0,13931.0
24,1760000597867632.0,907408.0,13924.0
25,1760000597904607.0,944544.0,13925.0
26,1760000597941230.0,981680.0,13926.0
27,1760000597978129.0,1018824.0,13931.0
28,1760000598015033.0,1056004.0,13925.0
29,1760000598051875.0,1093188.0,13925.0
30,1760000598088706.0,1130372.0,13930.0
31,1760000598125738.0,1167552.0,13926.0
32,1760000598166340.0,1204740.0,13925.0
33,1760000598203250.0,1241920.0,13931.0
34,1760000598240216.0,1279108.0,13926.0
35,1760000598277017.0,1316288.0,13925.0
36,1760000598313967.0,1353468.0,13931.0
37,1760000598350860.0,1390652.0,13928.0
38,1760000598387727.0,1427828.0,13923.0
39,1760000598424538.0,1465012.0,13926.0
40,1760000598461451.0,1502192.0,13929.0
41,1760000598498356.0,1539376.0,13923.0
42,1760000598535205.0,1576560.0,13927.0
43,1760000598575789.0,1613752.0,13931.0
44,1760000598612828.0,1650940.0,13926.0
45,1760000598649664.0,1688124.0,13925.0
46,1760000598686725.0,1725304.0,13931.0
47,1760000598723641.0,1762488.0,13924.0
48,1760000598760639.0,1799672.0,13924.0
49,1760000598797315.0,1836856.0,13930.0
50,1760000598834139.0,1874036.0,13926.0
51,1760000598871025.0,1911212.0,13924.0
52,1760000598907845.0,1948396.0,13922.0
53,1760000598944744.0,1985584.0,13929.0
54,1760000598981596.0,2022756.0,13922.0
55,1760000599022455.0,2059940.0,13923.0
56,1760000599059293.0,2097120.0,13930.0
57,1760000599096362.0,2134304.0,13924.0
58,1760000599133084.0,2171492.0,13924.0
59,1760000599170083.0,2208672.0,13931.0
60,1760000599206850.0,2245860.0,13925.0
61,1760000599235536.0,2275252.0,6184.0
