,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,1760001721648189.0,12662360.0,1749.0
1,1760001721649168.0,12687204.0,1661.0
2,1760001721649663.0,12712128.0,1735.0
3,1760001721649915.0,12737052.0,1734.0
4,1760001721650215.0,12761924.0,1694.0
5,1760001721650475.0,12786832.0,1719.0
6,1760001721650651.0,12811532.0,1519.0
7,1760001721650820.0,12836220.0,1502.0
8,1760001721651101.0,12860940.0,1536.0
9,1760001721651315.0,12885716.0,1593.0
10,1760001721651491.0,12910424.0,1525.0
11,1760001721651721.0,12935188.0,1576.0
12,1760001721651888.0,12961644.0,3269.0
13,1760001721652052.0,12986388.0,1559.0
14,1760001721652292.0,13011176.0,1604.0
15,1760001721652480.0,13038424.0,4053.0
16,1760001721652646.0,13065704.0,4079.0
17,1760001721652855.0,13093036.0,4131.0
18,1760001721653027.0,13119532.0,3293.0
19,1760001721653192.0,13145996.0,3276.0
20,1760001721653363.0,13172464.0,3277.0
21,1760001721653527.0,13198964.0,3310.0
22,1760001721653691.0,13226372.0,4200.0
23,1760001721653855.0,13252856.0,3287.0
24,1760001721654060.0,13279628.0,3575.0
25,1760001721654238.0,13307400.0,4566.0
26,1760001721654402.0,13334848.0,4247.0
27,1760001721654563.0,13361488.0,3443.0
28,1760001721654727.0,13388080.0,3394.0
29,1760001721654892.0,13416052.0,4771.0
30,1760001721655056.0,13441360.0,2111.0
31,1760001721655222.0,13466252.0,1704.0
32,1760001721655386.0,13491172.0,1740.0
33,1760001721655561.0,13528560.0,14129.0
34,1760001721655834.0,13553388.0,1593.0
35,1760001721656024.0,13578304.0,1725.0
36,1760001721656259.0,13603056.0,1570.0
37,1760001721656434.0,13627944.0,1704.0
38,1760001721656598.0,13652740.0,1610.0
39,1760001721656764.0,13677660.0,1734.0
40,1760001721656930.0,13702428.0,1587.0
41,1760001721657104.0,13727236.0,1621.0
42,1760001721657275.0,13752028.0,1610.0
43,1760001721657443.0,13776940.0,1725.0
44,1760001721657623.0,13801872.0,1750.0
45,1760001721657823.0,13828480.0,3410.0
46,1760001721658049.0,13853412.0,1749.0
