,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds)
0,1760002059038766.0,202824568.0,13931.0
1,1760002059038973.0,202861856.0,13926.0
2,1760002059039160.0,202899140.0,13925.0
3,1760002059039443.0,202936428.0,13925.0
4,1760002059039645.0,202973716.0,13927.0
5,1760002059039838.0,203011012.0,13933.0
6,1760002059040038.0,203048300.0,13925.0
7,1760002059040226.0,203085608.0,13955.0
8,1760002059040410.0,203122896.0,13926.0
9,1760002059040602.0,203160184.0,13927.0
10,1760002059040786.0,203197472.0,13929.0
11,1760002059040971.0,203234756.0,13926.0
12,1760002059041168.0,203272040.0,13931.0
13,1760002059041357.0,203309328.0,13925.0
14,1760002059041600.0,203346612.0,13924.0
15,1760002059041796.0,203383900.0,13926.0
16,1760002059041979.0,203421184.0,13926.0
17,1760002059042163.0,203458480.0,13933.0
18,1760002059042345.0,203495768.0,13926.0
19,1760002059042591.0,203533052.0,13931.0
20,1760002059042787.0,203570340.0,13924.0
21,1760002059042970.0,203607624.0,13923.0
22,1760002059043152.0,203644908.0,13931.0
23,1760002059043334.0,203682192.0,13925.0
24,1760002059043519.0,203719504.0,13955.0
25,1760002059043701.0,203756788.0,13924.0
26,1760002059043881.0,203794076.0,13926.0
27,1760002059044062.0,203831364.0,13925.0
28,1760002059044242.0,203868652.0,13925.0
29,1760002059044436.0,203905940.0,13931.0
30,1760002059044623.0,203943228.0,13927.0
31,1760002059044808.0,203980512.0,13923.0
32,1760002059044991.0,204017804.0,13926.0
33,1760002059045200.0,204055088.0,13923.0
34,1760002059045416.0,204092372.0,13929.0
35,1760002059045619.0,204129660.0,13926.0
36,1760002059045907.0,204166948.0,13932.0
37,1760002059046167.0,204204232.0,13924.0
38,1760002059046383.0,204241516.0,13923.0
39,1760002059046583.0,204278808.0,13931.0
40,1760002059046782.0,204316088.0,13924.0
41,1760002059046987.0,204353376.0,13930.0
42,1760002059047167.0,204390668.0,13928.0
43,1760002059047386.0,204427952.0,13926.0
44,1760002059047582.0,204465240.0,13927.0
45,1760002059047773.0,204502532.0,13928.0
46,1760002059048072.0,204539828.0,13932.0
47,1760002059048266.0,204577116.0,13924.0
48,1760002059048527.0,204614404.0,13931.0
49,1760002059048746.0,204651692.0,13927.0
50,1760002059048929.0,204688976.0,13924.0
51,1760002059049107.0,204726264.0,13932.0
52,1760002059049285.0,204763552.0,13927.0
53,1760002059049501.0,204800840.0,13934.0
54,1760002059049683.0,204838124.0,13928.0
55,1760002059049861.0,204875412.0,13924.0
56,1760002059050037.0,204912704.0,13934.0
57,1760002059050217.0,204949980.0,13927.0
58,1760002059050393.0,204987264.0,13932.0
59,1760002059050572.0,205024548.0,13926.0
60,1760002059050753.0,205061836.0,13926.0
61,1760002059050928.0,205099120.0,13924.0
62,1760002059051109.0,205136408.0,13927.0
63,1760002059051283.0,205173696.0,13931.0
64,1760002059051456.0,205210980.0,13927.0
65,1760002059051635.0,205248264.0,13931.0
66,1760002059051809.0,205285544.0,13924.0
67,1760002059051984.0,205322828.0,13925.0
68,1760002059052158.0,205360116.0,13933.0
69,1760002059052332.0,205397404.0,13925.0
70,1760002059052506.0,205434688.0,13934.0
71,1760002059052681.0,205471976.0,13927.0
72,1760002059052861.0,205509264.0,13925.0
73,1760002059053035.0,205546560.0,13933.0
74,1760002059053209.0,205583844.0,13926.0
75,1760002059053384.0,205621136.0,13934.0
76,1760002059053556.0,205658420.0,13924.0
77,1760002059053738.0,205695700.0,13923.0
78,1760002059053914.0,205732988.0,13927.0
79,1760002059054089.0,205770276.0,13924.0
80,1760002059054269.0,205807556.0,13932.0
81,1760002059054452.0,205844840.0,13925.0
82,1760002059054635.0,205882124.0,13933.0
83,1760002059054809.0,205919412.0,13925.0
84,1760002059054985.0,205956704.0,13927.0
85,1760002059055161.0,205993992.0,13933.0
86,1760002059055340.0,206031272.0,13925.0
87,1760002059055522.0,206068556.0,13932.0
88,1760002059055706.0,206105844.0,13927.0
89,1760002059055893.0,206143128.0,13927.0
90,1760002059056072.0,206180420.0,13927.0
91,1760002059056422.0,206217700.0,13923.0
92,1760002059056618.0,206254984.0,13930.0
93,1760002059056802.0,206292268.0,13924.0
94,1760002059056983.0,206329556.0,13924.0
95,1760002059057166.0,206366844.0,13927.0
96,1760002059057349.0,206404132.0,13927.0
97,1760002059057539.0,206441412.0,13929.0
98,1760002059057725.0,206478696.0,13926.0
99,1760002059057908.0,206515984.0,13933.0
100,1760002059058088.0,206553272.0,13924.0
101,1760002059058265.0,206590556.0,13926.0
102,1760002059058448.0,206627848.0,13931.0
103,1760002059058624.0,206665128.0,13926.0
104,1760002059058800.0,206702408.0,13929.0
105,1760002059058981.0,206739692.0,13924.0
