times,voltages
0,403
0,402
0,402
1,401
1,401
1,401
2,401
2,401
2,401
3,400
5,401
12,402
20,399
28,401
36,398
46,400
54,396
62,398
70,395
78,397
87,394
95,396
103,392
113,394
122,393
132,391
141,392
150,389
159,392
168,387
179,389
188,386
197,386
206,386
216,383
225,385
234,382
244,384
253,381
263,382
272,381
281,380
290,381
300,377
310,380
319,376
328,378
337,376
347,376
356,376
365,373
375,376
385,372
394,375
403,371
412,373
421,372
431,370
441,372
450,368
459,371
468,367
478,369
487,367
496,367
505,367
516,365
525,367
534,364
543,367
552,364
562,368
571,370
581,620
590,613
600,606
609,599
618,592
627,586
636,580
647,574
656,567
665,560
674,554
684,549
693,542
702,536
712,530
721,525
731,519
740,513
749,507
758,501
768,496
778,491
787,485
796,480
805,475
815,469
824,464
833,459
843,454
852,449
862,444
871,439
880,434
889,430
899,424
909,420
918,416
927,411
936,406
946,402
955,397
964,393
974,388
984,385
993,380
1002,376
1012,371
1022,367
1033,362
1044,358
1054,353
1064,349
1075,345
1085,340
1095,336
1106,333
1117,328
1127,324
1137,320
1147,317
1158,312
1168,309
1179,305
1189,302
1200,297
1210,294
1220,291
1230,287
1242,284
1252,280
1262,277
1272,273
1283,270
1293,268
1303,264
1314,260
1325,258
1335,254
1345,252
1355,248
1366,245
1377,242
1387,239
1397,236
1408,234
1418,230
1428,228
1439,225
1449,222
1460,219
1470,218
1480,214
1490,212
1501,210
1512,207
1522,205
1532,202
1543,200
1553,197
1563,196
1574,192
1585,191
1595,188
1605,186
1615,184
1626,182
1636,179
1647,177
1657,175
1668,173
1678,172
1688,169
1698,167
1710,165
1720,164
1730,161
1740,160
1751,157
1761,156
1772,153
1782,152
1793,150
1803,148
1813,147
1823,146
1833,143
1845,141
1855,139
1865,138
1875,137
1886,135
1896,133
1907,132
1917,130
1928,129
1938,128
1948,125
1958,124
1969,123
1980,121
1990,120
2000,118
2011,117
2021,116
2031,114
2042,113
2053,113
2063,110
2073,110
2083,108
2094,107
2105,106
2115,104
2125,103
2136,102
2146,101
2156,100
2166,98
2177,97
2186,96
2195,96
2204,94
2213,93
2223,92
2232,92
2242,91
2251,90
2260,89
2270,88
2279,87
2288,86
2297,85
2308,84
2317,84
2326,82
2335,82
2344,81
2354,80
2363,79
2373,79
2382,77
2392,76
2401,76
2410,76
2419,75
2428,74
2439,73
2448,72
2457,71
2466,72
2476,71
2485,69
2494,69
2504,69
2513,68
2523,66
2532,66
2541,65
2550,64
2560,64
2569,64
2579,64
2588,61
2597,62
2607,61
2616,60
2625,60
2634,59
2644,59
2654,58
2663,58
2672,57
2681,57
2691,56
2700,55
2710,55
2719,55
2728,53
2738,54
2747,53
2756,52
2765,51
2776,51
2785,50
2794,50
2803,49
2812,48
2822,48
2831,48
2841,48
2850,47
2860,47
2869,46
2878,45
2887,45
2896,45
2907,44
2916,44
2925,43
2934,43
2944,43
2953,43
2962,42
2972,42
2981,41
2991,41
3000,40
3009,41
3018,40
3027,40
3038,39
3047,38
3056,38
3065,37
3075,38
3084,37
3093,36
3103,36
3112,36
3122,36
3131,35
3140,35
3149,35
3159,34
3168,33
3178,33
3187,33
3196,33
3206,33
3215,32
3224,33
3233,32
3244,32
3253,31
3262,32
3271,31
3280,30
3290,29
3299,30
3309,30
3318,29
3328,29
3337,29
3346,29
3355,28
3364,29
3375,28
3384,27
3393,27
3402,27
3411,27
3421,26
3430,26
3440,26
3449,26
3459,25
3468,25
3477,26
3486,26
3495,24
3506,25
3515,23
3524,24
3533,24
3543,24
3552,23
3561,23
3571,23
3580,23
3590,23
3599,23
3608,22
3617,22
3627,22
3637,21
3646,21
3655,21
3664,20
3674,20
3683,22
3692,20
3702,20
3712,20
3721,20
3730,20
3739,20
3748,19
3758,19
3767,19
3777,19
3786,18
3795,18
3805,18
3814,18
3823,18
3832,17
3843,17
3852,18
3861,17
3870,17
3879,17
3889,17
3898,17
3908,17
3917,17
3927,16
3936,16
3945,17
3954,16
3963,16
3974,16
3983,16
3992,16
4001,16
4011,15
4020,15
4029,16
4039,16
4048,15
4058,15
4067,14
4076,14
4085,15
4094,14
4105,14
4114,14
4123,13
4132,13
4142,13
4151,14
4160,13
4170,13
4179,13
4189,13
4198,13
4207,13
4216,13
4226,13
4236,12
4245,13
4254,12
4263,12
4273,12
4282,12
4291,12
4301,12
4311,11
4320,12
4329,12
4338,12
4347,12
4357,11
4366,12
4376,11
4385,11
4395,11
4404,11
4413,11
4422,11
4431,10
4442,11
4451,10
4460,11
4469,10
4478,10
4488,10
4497,10
4507,10
4516,10
4526,10
4535,9
4543,10
4552,10
4561,10
4572,9
4580,9
4588,9
4596,9
4604,9
4613,9
4621,9
4629,9
4638,9
4646,10
4656,9
4664,9
4672,8
4680,8
4688,8
4697,9
4706,8
4714,9
4722,8
4730,8
4739,8
4747,8
4755,8
4763,8
4772,8
4781,8
4789,8
4797,8
4805,8
4813,8
4822,8
4830,7
4839,7
4847,7
4855,8
4864,8
4872,8
4880,7
4888,7
4896,8
4905,8
4914,8
4922,7
4930,7
4938,7
4946,8
4955,7
4963,7
4972,7
4980,7
4988,7
4997,6
5005,7
5013,7
5021,7
5029,7
5039,6
5047,7
5055,7
5063,6
5071,7
5080,6
5088,6
5096,6
5105,6
5113,7
5122,6
5130,6
5138,6
5146,6
5154,6
5163,6
5172,6
5180,6
5188,6
5196,6
5204,6
5213,6
5221,5
5229,6
5238,6
5246,6
5255,6
5263,5
5271,5
5279,6
5287,6
5296,6
5305,6
5313,5
5321,5
5329,7
5338,6
5346,5
5354,5
5362,5
5371,5
5380,5
5388,5
5396,5
5404,5
5412,6
5421,5
5429,5
5438,5
5446,5
5454,4
5463,5
5471,5
5479,5
5487,5
5495,5
5505,5
5513,5
5521,5
5529,4
5537,5
5545,5
5554,4
5562,4
5571,5
5579,5
5587,4
5596,4
5604,4
5612,3
5620,5
5628,4
5638,4
5646,4
5654,4
5662,4
5670,5
5679,4
5687,5
5695,4
5704,4
5712,5
5721,4
5729,4
5737,4
5745,4
5753,4
5762,3
5771,5
5779,4
5787,4
5795,4
5804,4
5812,4
5820,4
5828,3
5837,4
5846,4
5854,4
5862,4
5870,4
5878,4
5886,3
5895,4
5904,4
5912,4
5920,4
5928,4
5937,4
5945,4
5953,4
5961,4
5970,4
5979,4
5987,4
5995,3
6003,4
6011,3
6020,3
6028,4
6037,3
6045,4
6053,3
6062,4
6070,4
6078,3
6086,4
6094,3
6104,4
6112,3
6120,3
6128,3
6136,4
6145,3
6153,4
6161,3
6170,3
6178,3
6187,3
6195,4
6203,3
6211,3
6219,3
6227,3
6237,4
6245,3
6253,3
6261,3
6269,3
6278,3
6286,3
6294,3
6303,4
6311,3
6320,4
6328,3
6336,3
6344,3
6352,3
6361,3
6370,2
6378,3
6386,3
6394,4
6403,3
6411,3
6419,3
6427,3
6436,2
6445,3
6453,3
6461,3
6469,3
6477,2
6486,2
6494,2
6503,2
6511,3
6519,3
6528,2
6536,2
6544,3
6552,3
6560,3
6569,3
6578,3
6586,2
6594,2
6602,3
6610,2
6619,2
6627,3
6636,2
6644,2
6652,2
6661,3
6669,3
6677,2
6685,3
6693,2
6703,3
6711,2
6719,2
6727,2
6735,2
6744,2
6752,2
6760,2
6769,2
6777,2
6786,2
6794,2
6802,3
6810,2
6818,2
6827,2
