times,voltages
0,686
0,686
0,686
1,687
1,686
1,686
2,686
2,686
2,687
3,686
5,686
12,687
20,687
28,686
36,686
46,687
54,687
62,686
70,686
78,687
87,686
95,686
103,687
113,687
122,687
132,686
141,687
150,686
159,687
168,687
179,687
188,687
197,687
206,687
216,686
225,687
234,686
244,686
253,687
263,687
272,687
281,687
290,687
300,687
310,686
319,687
328,687
337,687
347,687
356,687
365,686
375,687
385,686
394,687
403,687
412,686
421,686
431,687
441,687
450,686
459,687
468,686
478,687
487,687
496,686
505,687
516,687
525,687
534,687
543,687
552,687
562,686
571,687
581,686
590,687
600,686
609,687
618,687
627,686
636,686
647,687
656,686
665,687
674,687
684,687
693,687
702,686
712,686
721,687
731,687
740,687
749,686
758,686
768,686
778,687
787,687
796,687
805,687
815,686
824,686
833,686
843,686
852,686
862,686
871,687
880,687
889,686
899,687
909,686
918,687
927,687
936,687
946,687
955,687
964,687
974,687
984,687
993,687
1002,686
1012,687
1022,686
1033,686
1044,686
1054,687
1064,687
1075,687
1085,687
1095,687
1106,686
1117,687
1127,687
1137,686
1147,686
1158,687
1168,687
1179,686
1189,686
1200,687
1210,686
1220,687
1230,687
1242,686
1252,688
1262,686
1272,687
1283,687
1293,687
1303,687
1314,686
1325,686
1335,687
1345,687
1355,687
1366,687
1377,686
1387,686
1397,686
1408,686
1418,686
1428,686
1439,687
1449,687
1460,686
1470,687
1480,687
1490,687
1501,686
1512,686
1522,687
1532,687
1543,687
1553,687
1563,687
1574,686
1585,686
1595,687
1605,686
1615,687
1626,687
1636,686
1647,687
1657,687
1668,686
1678,687
1688,686
1698,687
1710,687
1720,687
1730,687
1740,686
1751,686
1761,687
1772,686
1782,687
1793,686
1803,686
1813,686
1823,687
1833,687
1845,686
1855,686
1865,687
1875,687
1886,687
1896,686
1907,687
1917,687
1928,686
1938,687
1948,687
1958,686
1969,687
1980,686
1990,686
2000,687
2011,687
2021,686
2031,687
2042,687
2053,686
2063,686
2073,687
2083,687
2094,687
2105,686
2115,687
2125,687
2136,687
2146,687
2156,687
2166,687
2178,686
2188,686
2198,686
2208,687
2219,687
2229,687
2240,687
2250,687
2260,686
2271,687
2281,686
2291,687
2301,687
2313,686
2323,687
2333,686
2343,687
2354,686
2364,686
2375,686
2385,687
2396,687
2406,687
2416,686
2426,686
2438,687
2448,687
2458,687
2468,687
2479,686
2489,686
2499,687
2510,686
2521,687
2531,686
2541,687
2551,687
2562,687
2573,687
2583,687
2593,687
2604,687
2614,687
2624,686
2634,687
2646,687
2656,687
2666,686
2676,687
2686,687
2697,686
2708,687
2718,686
2728,687
2739,687
2749,687
2759,687
2770,686
2781,687
2791,687
2801,686
2811,686
2822,687
2832,687
2843,687
2853,686
2864,687
2874,687
2884,687
2894,686
2906,687
2916,686
2926,687
2936,687
2947,687
2957,687
2967,687
2978,687
2989,687
2999,687
3009,687
3019,687
3030,686
3041,686
3051,687
3061,687
3072,686
3082,686
3092,686
3103,687
3113,687
3124,686
3134,686
3144,687
3154,687
3165,686
3176,686
3186,687
3196,687
3207,687
3217,687
3227,686
3238,687
3249,686
3259,686
3269,687
3279,687
3290,686
3300,687
3311,687
3321,686
3332,687
3342,687
3352,687
3362,687
3374,686
3384,687
3394,686
3404,687
3415,686
3425,687
3436,686
3446,687
3457,686
3467,687
3477,687
3487,687
3497,687
3509,686
3519,687
3529,686
3539,687
3550,687
3560,687
3571,686
3581,687
3592,687
3602,686
3612,687
3622,686
3633,687
3644,686
3654,686
3664,687
3675,686
3685,686
3695,686
3706,687
3717,687
3727,686
3737,686
3747,687
3758,687
3769,686
3779,686
3789,687
3800,686
3810,687
3820,687
3830,686
3842,687
3852,687
3862,687
3872,687
3883,687
3893,687
3904,687
3914,686
3924,687
3935,687
3945,687
3955,687
3965,686
3977,687
3987,687
3997,686
4007,687
4018,687
4028,687
4039,686
4049,686
4060,687
4070,686
4080,686
4090,687
4102,687
4112,687
4122,687
