times,voltages
0,687
0,687
0,688
1,688
1,687
1,687
2,687
2,687
2,687
3,688
5,689
12,688
20,688
28,688
36,688
46,689
54,688
62,688
70,688
78,688
87,688
95,688
103,688
113,688
122,688
132,688
141,688
150,688
159,688
168,688
179,688
188,688
197,688
206,688
216,688
225,688
234,688
244,688
253,688
263,689
272,688
281,688
290,689
300,688
310,688
319,688
328,688
337,688
347,688
356,688
365,689
375,688
385,688
394,688
403,688
412,688
421,688
431,688
441,688
450,688
459,688
468,688
478,688
487,688
496,688
505,688
516,688
525,688
534,688
543,688
552,689
562,688
571,688
581,688
590,688
600,688
609,688
618,688
627,688
636,688
647,688
656,688
665,688
674,688
684,688
693,688
702,688
712,688
721,688
731,688
740,688
749,688
758,688
768,688
778,688
787,688
796,688
805,689
815,688
824,688
833,689
843,688
852,688
862,688
871,688
880,688
889,688
899,688
909,688
918,688
927,688
936,688
946,688
955,688
964,688
974,688
984,688
993,688
1002,689
1012,688
1022,687
1033,688
1044,688
1054,688
1064,688
1075,688
1085,688
1095,688
1106,688
1117,688
1127,688
1137,688
1147,688
1158,688
1168,688
1179,688
1189,688
1200,688
1210,688
1220,688
1230,688
1242,688
1252,688
1262,688
1272,688
1283,688
1293,688
1303,688
1314,688
1325,688
1335,688
1345,688
1355,688
1366,689
1377,688
1387,688
1397,688
1408,688
1418,688
1428,688
1439,688
1449,688
1460,688
1470,688
1480,688
1490,688
1501,689
1512,689
1522,688
1532,688
1543,688
1553,688
1563,688
1574,688
1585,688
1595,688
1605,688
1615,688
1626,688
1636,688
1647,688
1657,688
1668,688
1678,688
1688,688
1698,688
1710,688
1720,688
1730,688
1740,688
1751,688
1761,688
1772,688
1782,688
1793,688
1803,688
1813,688
1823,688
1833,688
1845,688
1855,688
1865,688
1875,688
1886,688
1896,688
1907,688
1917,688
1928,687
1938,688
1948,688
1958,689
1969,688
1980,688
1990,688
2000,688
2011,688
2021,689
2031,688
2042,688
2053,688
2063,688
2073,689
2083,688
2094,688
2105,688
2115,688
2125,688
2136,688
2146,688
2156,688
2166,688
2178,688
2188,688
2198,688
2208,688
2219,688
2229,688
2240,688
2250,688
2260,688
2271,688
2281,688
2291,688
2301,688
2313,688
2323,688
2333,688
2343,688
2354,689
2364,688
2375,688
2385,688
2396,688
2406,688
2416,688
2426,688
2438,688
2448,688
2458,688
2468,688
2479,688
2489,688
2499,688
2510,688
2521,688
2531,688
2541,688
2551,688
2562,688
2573,688
2583,688
2593,688
2604,688
2614,688
2624,688
2634,688
2646,688
2656,688
2666,688
2676,688
2686,688
2697,688
2708,688
2718,688
2728,688
2739,688
2749,688
2759,688
2770,688
2781,688
2791,688
2801,688
2811,688
2822,688
2832,688
2843,688
2853,688
2864,688
2874,688
2884,688
2894,688
2906,688
2916,688
2926,688
2936,688
2947,688
2957,688
2967,688
2978,688
2989,688
2999,688
3009,688
3019,688
3030,688
3041,688
3051,688
3061,688
3072,688
3082,688
3092,688
3103,688
3113,688
3124,689
3134,688
3144,688
3154,688
3165,688
3176,688
3186,688
3196,688
3207,689
3217,688
3227,688
3238,688
3249,688
3259,688
3269,688
3279,688
3290,688
3300,688
3311,688
3321,688
3332,688
3342,688
3352,688
3362,688
3374,688
3384,688
3394,688
3404,688
3415,688
3425,688
3436,688
3446,688
3457,688
3467,688
3477,688
3487,688
3497,688
3509,688
3519,688
3529,688
3539,688
3550,688
3560,688
3571,688
3581,688
3592,688
3602,688
3612,688
3622,688
3633,688
3644,688
3654,688
3664,688
3675,688
3685,688
3695,688
3706,688
3717,688
3727,688
3737,688
3747,689
3758,688
3769,688
3779,688
3789,687
3800,688
3810,688
3820,688
3830,688
3842,688
3852,688
3862,688
3872,688
3883,688
3893,688
3904,688
3914,688
3924,688
3935,688
3945,688
3955,688
3965,688
3977,688
3987,688
3997,688
4007,688
4018,689
4028,688
4039,688
4049,688
4060,688
4070,688
4080,688
4090,688
4102,688
4112,688
4122,689
4132,688
4143,688
4153,688
4163,688
4174,688
4185,688
4195,688
4205,688
4215,688
4226,688
4237,688
4247,688
4257,688
4268,688
4278,688
4288,688
4298,688
4310,689
4320,688
4330,688
4340,688
4350,687
4361,688
4372,688
4382,688
4392,688
4403,688
4413,688
4423,688
4434,688
4445,689
4455,688
4465,688
4475,688
4486,688
4496,688
4507,688
4517,688
4528,688
4538,688
4548,687
4558,687
4570,688
4580,688
4590,687
4600,688
4611,687
4621,688
4631,687
4642,688
4653,688
4663,688
4673,688
4683,688
4694,688
4705,688
4715,688
4725,688
4736,688
4746,688
4756,688
4767,688
4777,688
4788,688
4798,687
4808,688
4818,688
4829,688
4840,688
4850,688
4860,688
4871,688
4881,688
4891,688
4902,688
4913,688
4923,688
4933,688
4943,688
4954,688
4964,688
4975,688
4985,688
4996,688
5006,687
5016,688
5026,688
5038,688
5048,688
5058,688
5068,688
5079,688
5089,688
5100,688
5110,688
5121,688
5131,688
5141,688
5151,688
5161,688
5173,688
5183,688
5193,688
5203,688
5214,688
5224,688
5235,688
5245,688
5256,688
5266,687
5276,688
5286,688
5297,688
5308,688
5318,687
5328,687
5339,688
5349,688
5359,688
5370,687
5381,688
5391,688
5401,688
5411,688
5422,687
5433,687
5443,688
5453,688
5464,687
5474,687
5484,688
5494,688
5506,688
5516,688
5526,688
5536,687
5547,688
5557,688
5568,687
5578,688
5588,688
5599,688
5609,688
5619,688
5629,688
5641,688
5651,687
5661,688
5671,687
5682,688
5692,688
5703,687
5713,688
5724,688
5734,688
5744,688
5754,688
5766,688
5776,687
5786,687
5796,688
5807,688
5817,688
5827,688
5838,688
5849,688
5859,688
5869,688
5879,688
5890,688
5901,688
5911,688
5921,688
5932,688
5942,688
5952,688
5962,688
5974,688
5984,688
5994,688
6004,688
6014,688
6025,688
6036,688
6046,688
6056,687
6067,688
6077,688
6087,688
6098,688
6109,688
6119,688
6129,688
6139,688
6150,688
6160,688
6171,688
6181,688
6192,688
6202,688
6212,688
6222,688
6234,688
6244,688
6254,688
6264,689
