times,voltages
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0
3,0
3,0
5,0
10,0
16,0
22,0
28,0
34,0
41,0
48,0
54,0
60,0
66,0
72,0
78,0
84,0
91,0
97,0
103,0
111,0
118,0
125,0
133,0
140,0
147,0
154,0
161,0
168,0
177,0
184,0
191,0
198,0
205,0
212,0
220,0
227,0
234,0
242,0
249,0
257,0
264,0
271,0
278,0
285,0
292,0
300,0
308,0
315,0
322,0
329,0
336,0
344,0
351,0
358,0
365,0
372,0
380,0
388,0
395,0
402,0
409,0
416,0
423,0
431,0
438,0
446,0
453,0
460,0
467,0
475,0
482,0
489,0
496,0
503,0
512,0
519,0
526,0
533,0
540,0
547,0
555,0
562,0
569,0
577,0
584,0
591,0
599,0
606,0
613,0
620,0
627,0
634,0
643,0
650,0
657,0
664,0
671,0
678,0
686,0
693,0
700,0
708,0
715,0
722,0
730,0
737,0
744,0
751,0
758,0
765,0
774,0
781,0
788,0
795,0
802,0
809,0
817,0
824,0
831,0
838,0
846,0
854,0
861,0
868,0
875,0
882,0
889,0
897,0
904,0
912,0
919,0
926,0
933,0
941,0
948,0
955,0
962,0
969,0
977,0
985,0
992,0
999,0
1006,0
1014,0
1022,0
1031,0
1040,0
1048,0
1056,0
1064,0
1073,0
1081,0
1089,0
1097,0
1106,0
1115,0
1123,0
1131,0
1139,0
1147,0
1156,0
1164,0
1173,0
1181,0
1189,0
1198,0
1206,0
1214,0
1222,0
1230,0
1240,0
1248,0
1256,0
1264,0
1272,0
1281,0
1289,0
1297,0
1306,0
1314,0
1323,0
1331,0
1339,0
1347,0
1355,0
1363,0
1373,0
1381,0
1389,0
1397,0
1405,0
1414,0
1422,0
1430,0
1439,0
1447,0
1456,0
1464,0
1472,0
1480,0
1488,0
1497,0
1506,0
1514,0
1522,0
1530,0
1539,0
1547,0
1555,0
1563,0
1572,0
1581,0
1589,0
1597,0
1605,0
1613,0
1622,0
1630,0
1639,0
1647,0
1655,0
1664,0
1672,0
1680,0
1688,0
1696,0
1705,0
1714,0
1722,0
1730,0
1738,0
1746,0
1755,0
1763,0
1772,0
1780,0
1788,0
1797,0
1805,0
1813,0
1821,0
1829,0
1839,0
1847,0
1855,0
1863,0
1871,0
1880,0
1888,0
1896,0
1905,0
1913,0
1922,0
1930,0
1938,0
1946,0
1954,0
1963,0
1972,0
1980,0
1988,0
1996,0
2004,0
2013,0
2021,0
2029,0
2038,0
2046,0
2055,0
2063,0
2071,0
2079,0
2087,0
2096,0
2105,0
2113,0
2121,0
2129,0
2138,0
2146,0
2154,0
2162,0
2171,0
2180,0
2188,0
2196,0
2204,0
2212,0
2221,0
