times,voltages
0,687
0,687
0,688
1,687
1,687
1,687
2,688
2,688
2,688
3,688
5,688
12,689
20,688
28,689
36,688
46,688
54,688
62,688
70,688
78,688
87,688
95,689
103,688
113,688
122,688
132,688
141,688
150,688
159,688
168,688
179,688
188,688
197,688
206,688
216,688
225,688
234,688
244,688
253,688
263,688
272,689
281,688
290,688
300,688
310,688
319,688
328,689
337,688
347,688
356,688
365,688
375,688
385,688
394,688
403,688
412,688
421,688
431,688
441,688
450,688
459,688
468,688
478,688
487,688
496,688
505,688
516,688
525,688
534,688
543,688
552,689
562,688
571,688
581,688
590,688
600,688
609,688
618,688
627,688
636,688
647,688
656,688
665,688
674,688
684,689
693,688
702,688
712,688
721,688
731,688
740,688
749,688
758,688
768,688
778,688
787,688
796,688
805,688
815,688
824,688
833,688
843,688
852,688
862,688
871,688
880,688
889,688
899,688
909,688
918,688
927,688
936,688
946,688
955,688
964,688
974,688
984,688
993,688
1002,688
1012,688
1022,688
1033,688
1044,688
1054,688
1064,688
1075,688
1085,688
1095,688
1106,688
1117,688
1127,687
1137,688
1147,688
1158,688
1168,688
1179,688
1189,688
1200,688
1210,688
1220,688
1230,688
1242,688
1252,688
1262,688
1272,688
1283,688
1293,688
1303,688
1314,688
1325,688
1335,688
1345,688
1355,688
1366,688
1377,688
1387,688
1397,689
1408,689
1418,688
1428,688
1439,688
1449,688
1460,688
1470,688
1480,688
1490,689
1501,689
1512,688
1522,688
1532,688
1543,688
1553,688
1563,688
1574,688
1585,688
1595,688
1605,688
1615,688
1626,688
1636,688
1647,688
1657,688
1668,688
1678,688
1688,688
1698,688
1710,688
1720,688
1730,688
1740,688
1751,688
1761,688
1772,688
1782,688
1793,688
1803,688
1813,688
1823,688
1833,688
1845,688
1855,688
1865,688
1875,688
1886,688
1896,688
1907,688
1917,689
1928,688
1938,688
1948,688
1958,688
1969,688
1980,689
1990,688
2000,689
2011,688
2021,688
2031,688
2042,688
2053,688
2063,688
2073,688
2083,688
2094,688
2105,688
2115,688
2125,688
2136,688
2146,688
2156,688
2166,688
2178,688
2188,688
2198,688
2208,689
2219,688
2229,688
2240,688
2250,688
2260,688
2271,688
2281,688
2291,688
2301,688
2313,688
2323,688
2333,688
2343,688
2354,688
2364,688
2375,688
2385,689
2396,688
2406,688
2416,689
2426,688
2438,688
2448,688
2458,688
2468,688
2479,688
2489,688
2499,688
2510,688
2521,688
2531,688
2541,688
2551,688
2562,688
2573,688
2583,688
2593,688
2604,688
2614,688
2624,688
2634,688
2646,688
2656,688
2666,688
2676,688
2686,688
2697,688
2708,688
2718,688
2728,688
2739,688
2749,688
2759,688
2770,688
2781,688
2791,688
2801,688
2811,688
2822,688
2832,688
2843,688
2853,688
2864,688
2874,688
2884,688
2894,688
2906,688
2916,688
2926,688
2936,688
2947,688
2957,688
2967,688
2978,688
2989,688
2999,688
3009,688
3019,688
3030,688
3041,688
3051,688
3061,689
3072,688
3082,688
3092,688
3103,688
3113,688
3124,688
3134,688
3144,688
3154,688
3165,688
3176,688
3186,688
3196,688
3207,688
3217,688
3227,688
3238,688
3249,688
3259,688
3269,688
3279,688
3290,688
3300,688
3311,688
3321,688
3332,688
3342,688
3352,688
3362,688
3374,688
3384,688
3394,688
3404,688
3415,688
3425,688
3436,688
3446,688
3457,688
3467,688
3477,688
3487,688
3497,688
3509,688
3519,688
3529,688
3539,688
3550,688
3560,688
3571,688
3581,688
3592,688
3602,688
3612,688
3622,688
3633,688
3644,689
3654,688
3664,688
3675,688
3685,688
3695,689
3706,688
3717,689
3727,688
3737,688
3747,688
3758,689
3769,688
3779,688
3789,688
3800,688
3810,688
3820,688
3830,688
3842,689
3852,690
3862,689
3872,689
3883,688
3893,687
3904,689
3914,688
3924,687
3935,687
3945,687
3955,687
3965,687
3977,687
3987,687
3997,687
4007,687
4018,688
4028,687
4039,687
4049,687
4060,687
4070,687
4080,687
4090,687
4102,687
4112,687
4122,687
4132,687
4143,687
4153,687
4163,687
4174,687
4185,687
4195,687
4205,687
4215,686
4226,686
4237,686
4247,686
4257,686
4268,686
4278,686
4288,686
4298,686
4310,686
4320,686
4330,686
4340,687
4350,686
4361,686
4372,686
4382,686
4392,686
4403,686
4413,686
4423,686
4434,686
4445,686
4455,686
4465,686
4475,685
4486,685
4496,686
4507,685
4517,686
4528,685
4538,686
4548,685
4558,686
4570,685
4580,685
4590,685
4600,685
4611,685
4621,685
4631,685
4642,685
4653,685
4663,686
4673,685
4683,685
4694,685
4705,685
4715,685
4725,685
4736,685
4746,684
4756,685
4767,685
4777,685
4788,685
4798,685
4808,684
4818,685
4829,684
4840,685
4850,684
4860,685
4871,684
4881,684
4891,685
4902,685
4913,684
4923,684
4933,684
4943,685
4954,684
4964,684
4975,684
4985,684
4996,684
5006,684
5016,684
5026,684
5038,684
5048,684
5058,683
5068,683
5079,683
5089,684
5100,683
5110,684
5121,683
5131,683
5141,684
5151,683
5161,683
5173,683
5183,683
5193,683
5203,683
5214,684
5224,683
5235,684
5245,683
5256,683
5266,683
5276,684
5286,683
5297,683
5308,683
5318,683
5328,683
5339,683
5349,683
5359,683
5370,683
5381,683
5391,682
5401,683
5411,683
5422,683
5433,683
5443,682
5453,682
5464,682
5474,682
5484,682
5494,684
5506,682
5516,683
5526,682
5536,682
5547,682
5557,682
5568,682
5578,683
5588,682
5599,682
5609,682
5619,682
5629,682
5641,682
5651,682
5661,682
5671,682
5682,681
5692,682
5703,681
5713,681
5724,682
5734,682
5744,682
5754,682
5766,681
5776,681
5786,682
5796,681
5807,682
5817,681
5827,681
5838,681
5849,681
5859,681
5869,681
5879,681
5890,681
5901,681
5911,682
5921,681
5932,681
5942,681
5952,681
5962,681
5974,681
5984,681
5994,681
6004,681
6014,681
6025,681
6036,681
6046,680
6056,681
6067,681
6077,681
6087,681
6098,680
6109,681
6119,680
6129,681
6139,680
6150,680
6160,680
6171,681
6181,680
6192,680
6202,680
6212,680
6222,680
6234,680
6244,680
6254,680
6264,680
