times,voltages
0,403
0,403
0,403
1,403
1,403
1,403
2,403
2,403
2,403
3,403
5,403
12,400
20,401
28,398
36,400
46,397
54,399
62,396
70,397
78,394
87,396
95,393
103,395
113,392
122,393
132,391
141,392
150,391
159,390
168,390
179,388
188,389
197,386
206,388
216,386
225,386
234,386
244,383
253,385
263,382
272,383
281,381
290,382
300,381
310,380
319,381
328,378
337,380
347,377
356,378
365,377
375,377
385,376
394,374
403,376
412,373
421,375
431,372
441,373
450,372
459,371
468,372
478,369
487,371
496,368
505,370
516,368
525,368
534,368
543,366
552,367
562,364
571,366
581,363
590,365
600,364
609,363
618,364
627,361
636,363
647,360
656,362
665,360
674,360
684,360
693,358
702,359
712,356
721,358
731,356
740,357
749,356
758,355
768,356
778,353
787,355
796,352
805,354
815,352
824,352
833,352
843,350
852,352
862,349
871,351
880,348
889,349
899,348
909,347
918,348
927,346
936,348
946,345
955,346
964,344
974,345
984,345
993,343
1002,344
1012,342
1022,343
1033,342
1044,340
1054,342
1064,340
1075,340
1085,341
1095,338
1106,340
1117,339
1127,337
1137,339
1147,337
1158,336
1168,337
1179,334
1189,336
1200,335
1210,333
1220,335
1230,333
1242,333
1252,334
1262,331
1272,332
1283,332
1293,330
1303,331
1314,330
1325,330
1335,331
1345,328
1355,329
1366,329
1377,327
1387,328
1397,326
1408,326
1418,327
1428,324
1439,326
1449,325
1460,323
1470,325
1480,323
1490,323
1501,324
1512,321
1522,323
1532,322
1543,320
1553,322
1563,320
1574,320
1585,321
1595,318
1605,320
1615,319
1626,317
1636,319
1647,317
1657,317
1668,318
1678,315
1688,317
1698,317
1710,314
1720,316
1730,314
1740,314
1751,315
1761,313
1772,314
1782,314
1793,312
1803,314
1813,312
1823,312
1833,313
1845,310
1855,312
1865,311
1875,309
1886,311
1896,309
1907,309
1917,310
1928,307
1938,309
1948,309
1958,307
1969,309
1980,307
1990,307
2000,308
2011,306
2021,307
2031,307
2042,305
2053,307
2063,305
2073,305
2083,306
2094,303
2105,305
2115,305
2125,303
2136,304
2146,303
2156,303
2166,304
2178,301
2188,303
2198,302
2208,300
2219,303
2229,301
2240,301
2250,302
2260,299
2271,301
2281,300
2291,298
2301,301
2313,299
2323,299
2333,300
2343,297
2354,299
2364,299
2375,297
2385,299
2396,297
2406,297
2416,298
2426,296
2438,297
2448,297
2458,295
2468,297
2479,295
2489,295
2499,297
2510,294
2521,296
2531,295
2541,293
2551,295
2562,293
2573,294
2583,295
2593,293
2604,294
2614,294
2624,292
2634,294
2646,292
2656,292
2666,293
2676,291
2686,292
2697,292
2708,290
2718,292
2728,290
2739,290
2749,292
2759,289
2770,291
2781,291
2791,289
2801,291
2811,289
2822,289
2832,291
2843,288
2853,290
2864,290
2874,288
2884,290
2894,288
2906,288
2916,289
2926,287
2936,289
2947,288
2957,287
2967,289
2978,287
2989,288
2999,289
3009,286
3019,288
3030,288
3041,286
3051,288
3061,286
3072,286
3082,288
3092,285
3103,287
3113,286
3124,285
3134,287
3144,285
3154,285
3165,286
3176,284
3186,286
3196,286
3207,284
3217,286
3227,284
3238,285
3249,286
3259,283
3269,285
3279,285
3290,282
3300,285
3311,282
3321,283
3332,284
3342,281
3352,284
3362,283
3374,281
3384,284
3394,281
3404,282
3415,283
3425,280
3436,283
3446,282
3457,280
3467,283
3477,280
3487,281
3497,283
3509,279
3519,282
3529,281
3539,279
3550,282
3560,279
3571,280
3581,282
3592,278
3602,281
3612,280
3622,278
3633,282
3644,278
3654,279
3664,281
3675,278
3685,281
3695,280
3706,278
3717,281
3727,278
3737,279
3747,280
3758,277
3769,280
3779,279
3789,277
3800,280
3810,277
3820,278
3830,280
3842,276
3852,280
3862,278
3872,277
3883,280
3893,277
3904,278
3914,280
3924,276
3935,279
3945,278
3955,276
3965,279
3977,276
3987,277
3997,278
4007,275
4018,278
4028,276
4039,274
4049,277
4060,273
4070,275
4080,276
4090,272
4102,275
4112,274
4122,272
4132,274
4143,270
4153,272
4163,273
4174,270
4185,273
4195,274
4205,273
4215,276
4226,274
4237,276
4247,277
4257,274
4268,277
4278,276
4288,275
4298,278
4310,274
4320,276
4330,277
4340,274
4350,277
4361,275
4372,274
4382,277
4392,273
4403,275
4413,275
4423,272
4434,275
4445,274
4455,272
4465,275
4475,272
4486,273
4496,274
4507,271
4517,274
4528,273
4538,271
4548,274
4558,271
4570,273
4580,273
4590,271
4600,273
4611,272
4621,271
4631,274
4642,271
4653,273
4663,273
4673,271
4683,274
4694,273
4705,272
4715,274
4725,271
4736,273
4746,273
4756,271
4767,274
4777,273
4788,272
4798,274
4808,271
4818,273
4829,274
4840,271
4850,274
4860,273
4871,272
4881,275
4891,272
4902,274
4913,274
4923,272
4933,275
4943,274
4954,273
4964,275
4975,272
4985,274
4996,275
5006,272
5016,275
5026,274
5038,273
5048,275
5058,272
5068,274
5079,275
5089,272
5100,275
5110,274
5121,273
5131,276
5141,272
5151,274
5161,275
5173,272
5183,275
5193,274
5203,273
5214,276
5224,272
5235,274
5245,275
5256,272
5266,275
5276,274
5286,273
5297,276
5308,272
5318,274
5328,275
5339,272
5349,275
5359,273
5370,272
