times,voltages
0,348
0,342
0,342
1,342
1,342
1,342
2,342
2,342
2,342
3,342
5,342
12,342
20,342
28,342
36,342
46,342
54,343
62,342
70,342
78,343
87,343
95,342
103,342
113,342
122,342
132,343
141,342
150,343
159,343
168,342
179,342
188,343
197,342
206,343
216,342
225,342
234,342
244,342
253,342
263,342
272,342
281,343
290,342
300,342
310,343
319,342
328,342
337,343
347,343
356,342
365,343
375,343
385,342
394,342
403,343
412,342
421,342
431,342
441,343
450,343
459,343
468,342
478,342
487,342
496,342
505,342
516,342
525,343
534,342
543,342
552,342
562,343
571,342
581,342
590,342
600,342
609,342
618,342
627,343
636,342
647,342
656,342
665,343
674,343
684,342
693,342
702,342
712,343
721,342
731,343
740,343
749,342
758,342
768,343
778,342
787,343
796,342
805,342
815,342
824,342
833,342
843,342
852,342
862,342
871,342
880,343
889,342
899,343
909,342
918,342
927,342
936,343
946,342
955,342
964,342
974,343
984,342
993,343
1002,343
1012,342
1022,343
1033,342
1044,342
1054,343
1064,342
1075,343
1085,342
1095,343
1106,343
1117,343
1127,343
1137,342
1147,342
1158,342
1168,342
1179,342
1189,343
1200,342
1210,342
1220,342
1230,342
1242,342
1252,343
1262,342
1272,342
1283,342
1293,342
1303,343
1314,342
1325,343
1335,342
1345,342
1355,342
1366,343
1377,342
1387,343
1397,342
1408,343
1418,343
1428,343
1439,343
1449,343
1460,342
1470,342
1480,342
1490,342
1501,342
1512,343
1522,342
1532,342
1543,342
1553,343
1563,342
1574,343
1585,343
1595,342
1605,342
1615,343
1626,342
1636,342
1647,342
1657,343
1668,343
1678,343
1688,342
1698,342
1710,343
1720,342
1730,342
1740,342
1751,342
1761,342
1772,342
1782,342
1793,342
1803,342
1813,342
1823,342
1833,343
1845,342
1855,342
1865,342
1875,342
1886,342
1896,342
1907,342
1917,343
1928,342
1938,342
1948,342
1958,342
1969,342
1980,342
1990,342
2000,342
2011,342
2021,342
2031,342
2042,342
2053,342
2063,343
2073,342
2083,342
2094,343
2105,342
2115,342
2125,343
2136,342
2146,342
2156,342
2166,342
2178,342
2188,343
2198,342
2208,343
2219,343
2229,342
2240,343
2250,342
2260,342
2271,342
2281,342
2291,342
2301,342
2313,342
2323,343
2333,342
2343,342
2354,343
2364,342
2375,342
2385,342
2396,343
