times,voltages
0,18
0,0
0,0
0,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0
3,0
3,0
6,0
11,0
17,0
23,0
29,0
35,0
43,0
49,0
55,0
61,0
67,0
73,0
79,0
86,0
92,0
98,0
104,0
112,0
119,0
126,0
134,0
141,0
148,0
155,0
162,0
169,0
178,0
185,0
192,0
199,0
206,0
214,0
221,0
228,0
235,0
243,0
250,0
258,0
265,0
272,0
279,0
286,0
293,0
301,0
309,0
316,0
323,0
330,0
337,0
345,0
352,0
359,0
366,0
374,0
381,0
389,0
396,0
403,0
410,0
417,0
424,0
432,0
439,0
447,0
454,0
461,0
468,0
476,0
483,0
490,0
497,0
504,0
513,0
520,0
527,0
534,0
541,0
548,0
556,0
563,0
570,0
578,0
585,0
592,0
600,0
607,0
614,0
621,0
628,0
635,0
644,0
651,0
658,0
665,0
672,0
679,0
687,0
694,0
701,0
709,0
716,0
723,0
731,0
738,0
745,0
752,0
759,0
766,0
775,0
782,0
789,0
796,0
803,0
811,0
818,0
825,0
832,0
840,0
847,0
855,0
862,0
869,0
876,0
883,0
890,0
898,0
905,0
913,0
920,0
927,0
934,0
942,0
949,0
956,0
963,0
970,0
978,0
986,0
993,0
1000,0
1008,0
1016,0
1025,0
1033,0
1042,0
1050,0
1058,0
1067,0
1075,0
1083,0
1091,0
1099,0
1108,0
1117,0
1125,0
1133,0
1141,0
1149,0
1158,0
1166,0
1175,0
1183,0
1191,0
1200,0
1208,0
1216,0
1224,0
1232,0
1242,0
1250,0
1258,0
1266,0
1274,0
1283,0
1291,0
1299,0
1308,0
1316,0
1325,0
1333,0
1341,0
1349,0
1357,0
1366,0
1375,0
1383,0
1391,0
1399,0
1408,0
1416,0
1424,0
1432,0
1441,0
1449,0
1458,0
1466,0
1474,0
1482,0
1490,0
1499,0
1508,0
1516,0
1524,0
1532,0
1541,0
1549,0
1557,0
1565,0
1574,0
1583,0
1591,0
1599,0
1607,0
1615,0
1624,0
1632,0
1641,0
1649,0
1657,0
1666,0
1674,0
1682,0
1690,0
1698,0
1708,0
1716,0
1724,0
1732,0
1740,0
1748,0
1757,0
1765,0
1774,0
1782,0
1790,0
1799,0
1807,0
1815,0
1823,0
1831,0
1841,0
1849,0
1857,0
1865,0
1873,0
1882,0
1890,0
1898,0
1907,0
1915,0
1924,0
1932,0
1940,0
1948,0
1956,0
1965,0
1974,0
1982,0
1990,0
1998,0
2007,0
2015,0
2023,0
2031,0
2040,0
2049,0
2057,0
2065,0
2073,0
2081,0
2089,0
2098,0
2107,0
2115,0
2123,0
2131,0
2140,0
2148,0
2156,0
2164,0
2173,0
2182,0
2190,0
2198,0
2206,0
2214,0
2223,0
2231,0
2240,0
2248,0
2256,0
2265,0
2273,0
2281,0
2289,0
2297,0
2307,0
2315,0
2323,0
2331,0
2339,0
2348,0
2356,0
2364,0
2373,0
2381,0
2390,0
2398,0
2406,0
2414,0
2422,0
2430,0
2440,0
2448,0
2456,0
2464,0
2472,0
2481,0
2489,0
2497,0
2506,0
2514,0
2523,0
2531,0
2539,0
2547,0
2555,0
2564,0
2573,0
2581,0
2589,0
2597,0
2606,0
2614,0
2622,0
2630,0
2639,0
2648,0
2656,981
2666,985
2676,985
2686,983
2697,976
2708,968
2718,958
2728,949
2739,939
2749,930
2759,922
2770,913
2781,905
2791,897
2801,888
2811,881
2822,874
2832,866
2843,859
2853,851
2864,844
2874,838
2884,831
2894,823
2906,817
2916,810
2926,803
2936,796
2947,790
2957,784
2967,777
2978,771
2989,764
2999,758
3009,752
3019,746
3030,740
3041,984
3051,984
3061,985
3072,985
3082,985
3092,985
3103,986
3113,985
3124,985
3134,984
3144,985
3154,985
3165,985
3176,985
3186,985
3196,985
3207,985
3217,986
3227,985
3238,985
3249,985
3259,985
3269,985
3279,986
3290,985
3300,985
3311,985
3321,985
3332,985
3342,984
3352,985
3362,985
3374,985
3384,985
3394,985
3404,985
3415,985
3425,985
3436,985
3446,985
3457,985
3467,985
3477,985
3487,985
3497,985
3509,985
3519,986
3529,985
3539,985
3550,985
3560,986
3571,985
3581,985
3592,985
3602,985
3612,985
3622,985
3633,985
3644,985
3654,985
3664,985
3675,985
3685,985
3695,985
3706,985
3717,985
3727,985
3737,985
3747,985
3758,985
3769,985
3779,985
3789,986
3800,985
3810,985
3820,985
3830,985
3842,985
3852,985
3862,985
3872,985
3883,985
3893,985
3904,986
3914,985
3924,985
3935,985
3945,985
3955,985
3965,985
3977,985
3987,985
3997,985
4007,985
4018,986
4028,985
4039,985
4049,985
4060,985
4070,985
4080,985
4090,985
4102,985
4112,985
4122,984
4132,985
4143,984
4153,985
4163,985
4174,985
4185,985
4195,985
4205,986
4215,985
4226,985
4237,984
4247,985
4257,985
4268,985
4278,985
4288,985
4298,985
4310,985
4320,985
4330,984
4340,985
4350,985
4361,985
4372,984
4382,985
4392,985
4403,985
4413,985
4423,985
4434,985
4445,985
4455,985
4465,985
4475,985
4486,985
4496,985
4507,985
4517,985
4528,985
4538,985
4548,985
4558,985
4570,985
4580,984
4590,984
4600,985
4611,985
4621,985
4631,985
4642,985
4653,985
4663,985
4673,984
4683,985
4694,985
4705,985
4715,985
4725,985
4736,985
4746,985
4756,986
4767,985
4777,985
4788,985
4798,985
4808,986
4818,985
4829,985
4840,985
4850,985
4860,984
4871,981
4881,973
4891,965
4902,957
4913,951
4923,943
4933,935
4943,928
4954,920
4964,913
4975,907
4985,899
4996,892
5006,886
5016,879
5026,872
5038,866
5048,859
5058,852
5068,846
5079,839
5089,832
5100,826
5110,820
5121,813
5131,807
5141,801
5151,795
5161,789
5173,783
5183,777
5193,771
5203,765
5214,759
5224,753
5235,748
5245,742
5256,736
5266,731
5276,725
5286,720
5297,715
5308,709
5318,704
5328,699
5339,694
5349,689
5359,683
5370,678
5381,673
5391,668
5401,663
5411,658
5422,653
5433,649
5443,643
5453,639
5464,634
5474,629
5484,624
5494,620
5506,615
5516,611
5526,606
5536,602
5547,598
5557,593
5568,589
5578,584
5588,580
5599,576
5609,572
5619,567
5629,564
5641,559
5651,555
5661,551
5671,547
5682,543
5692,539
5703,535
5713,531
5724,527
5734,523
5744,519
5754,516
5766,512
5776,507
5786,504
5796,500
5807,497
5817,493
5827,489
5838,486
5849,482
5859,478
5869,475
5879,472
5890,468
5901,465
5911,462
5921,458
5932,455
5942,452
5952,448
5962,445
5974,442
5984,439
5994,435
6004,432
6014,429
6025,426
6036,422
6046,419
6056,416
6067,414
6077,410
6087,407
6098,404
6109,401
6119,398
6129,396
6139,392
6150,390
6160,387
6171,384
6181,381
6192,378
6202,376
6212,373
6222,370
6234,367
6244,365
6254,362
6264,360
6275,357
6285,354
6295,352
6306,350
6317,347
6327,344
6337,342
6347,339
6358,337
6369,334
6379,332
6389,330
6400,327
6410,325
6420,323
6431,320
6441,318
6452,316
6462,313
6472,311
6482,309
6493,307
6504,304
6514,302
6524,300
6535,298
6545,296
6555,293
6566,291
6577,289
6587,287
6597,286
6607,283
6618,281
6628,279
6639,277
6649,275
6660,273
6670,272
6680,269
6690,267
6702,266
6712,263
6722,261
6732,259
6743,258
6753,256
6764,254
6774,252
6785,250
6795,248
6805,247
6815,245
6825,243
6837,241
6847,240
6857,238
6867,237
6878,235
6888,233
6899,232
6909,230
6920,227
6930,226
6940,225
6950,223
6961,221
6972,220
6982,218
6992,216
7003,215
7013,214
7023,212
7034,211
7045,209
7055,208
7065,206
7075,205
7086,204
7097,202
7107,200
7117,199
7128,197
7138,196
7148,195
7158,194
7170,192
7180,191
7190,189
7200,188
7211,187
7221,185
7232,184
7242,183
7252,181
7263,180
7273,179
7283,177
7293,176
7305,175
7315,173
7325,172
7335,171
7346,170
7356,169
7367,168
7377,166
7388,166
7398,164
7408,163
7418,162
7430,161
7440,160
7450,158
7460,158
7471,156
7481,155
7491,154
7502,153
7513,152
7523,151
7533,150
7543,150
7554,148
7565,147
7575,145
7585,145
7596,144
7606,142
7616,141
7626,141
7638,140
7648,139
7658,138
7668,137
7678,136
7689,135
7700,134
7710,133
7720,132
7731,131
7741,130
7751,129
7762,128
7773,128
7783,126
7793,126
7803,125
7814,124
7824,123
7835,122
7845,121
7856,120
7866,120
7876,119
7886,118
7898,118
7908,116
7918,116
7928,115
7939,114
7949,113
7959,112
7970,112
7981,111
7991,110
8001,109
8011,108
8022,108
8033,107
8043,106
8053,106
8064,105
8074,104
8084,104
8095,103
8105,102
8116,101
8126,100
8136,100
8146,99
8156,99
8166,98
8175,97
8184,97
8194,96
8203,95
8212,95
8221,94
8231,94
8241,93
8250,93
8259,92
8268,92
8278,92
8287,91
8297,90
8306,89
8315,88
8325,88
8334,87
8343,87
8352,86
8363,86
8372,86
8381,85
8390,84
8399,84
8409,83
8418,83
8428,82
8437,82
8446,81
8456,81
8465,80
8474,80
8483,80
8493,79
8503,78
8512,78
8521,77
8530,78
8540,77
8549,75
8558,75
8568,75
8578,74
8587,74
8596,74
8605,73
8614,73
8624,72
8634,72
8643,71
8652,71
8662,71
8671,70
8680,70
8689,69
8699,69
8709,68
8718,68
8727,68
8736,68
8745,67
8755,66
8765,66
8774,65
8783,65
8793,64
8802,64
8811,64
8820,64
8830,63
8840,62
8849,62
8858,62
8867,62
8877,60
8886,61
8896,61
8905,60
8914,60
8924,60
8933,59
8942,59
8951,58
8962,58
8971,57
8980,58
8989,57
8998,56
9008,56
9017,56
9027,56
9036,55
9046,55
9055,54
9064,54
9073,54
9082,54
9092,53
9102,53
9111,53
9120,52
9129,51
9139,52
9148,51
9157,50
9167,50
9177,51
9186,50
9195,49
9204,49
9213,49
9223,49
9233,48
9242,48
9251,48
9261,48
9270,47
9279,47
9288,46
9298,47
9308,46
9317,46
9326,45
9335,45
9345,45
9354,45
9364,45
9373,44
9382,43
9392,44
9401,44
9410,42
9419,42
9430,43
9439,42
9448,42
9457,42
9466,42
9476,41
9485,41
9495,40
9504,41
9513,40
9523,40
9532,40
9541,40
