Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,3.624357223510742,23.2,40.0
1.0,5.655879259109497,23.2,40.0
2.0,7.683588027954102,23.2,40.0
3.0,9.710888147354126,23.2,40.0
4.0,11.738460302352905,23.2,40.0
5.0,13.765778303146362,23.2,40.0
6.0,15.797270059585571,23.2,40.0
7.0,17.824748039245605,23.2,40.0
8.0,19.85220503807068,23.2,40.0
9.0,21.879465341567993,23.2,40.0
10.0,23.907012224197388,23.2,40.0
11.0,25.934466123580933,23.2,40.0
12.0,27.965850114822388,23.2,40.0
13.0,29.993319272994995,23.2,40.0
14.0,32.02079105377197,23.2,40.0
15.0,34.04823017120361,23.2,40.0
16.0,36.07533121109009,23.2,40.0
17.0,38.10704016685486,23.2,40.0
18.0,40.13448429107666,23.2,40.0
19.0,42.16172695159912,23.2,40.0
20.0,44.18933415412903,23.2,40.0
21.0,46.21662211418152,23.2,40.0
22.0,48.24822926521301,23.2,40.0
23.0,50.27570199966431,23.2,40.0
24.0,52.30300211906433,23.2,40.0
25.0,54.33022212982178,23.2,40.0
26.0,56.35794115066528,23.2,40.0
27.0,58.389281034469604,23.2,40.0
28.0,60.416619062423706,23.2,40.0
29.0,62.444273233413696,23.2,40.0
30.0,64.47166323661804,23.2,40.0
31.0,66.49905204772949,23.2,40.0
32.0,68.53054213523865,23.2,40.0
33.0,70.55800819396973,23.2,40.0
34.0,72.58507919311523,23.2,40.0
35.0,74.61262893676758,23.2,40.0
36.0,76.64033102989197,23.2,40.0
37.0,78.66769409179688,23.2,40.0
38.0,82.5975501537323,23.2,40.0
39.0,82.81382608413696,23.2,40.0
40.0,84.75389218330383,23.2,40.0
41.0,86.78133606910706,23.2,40.0
42.0,88.80886816978455,23.2,40.0
43.0,90.8401472568512,23.2,40.0
44.0,92.8677670955658,23.2,40.0
45.0,94.89510297775269,23.2,40.0
46.0,96.92259407043457,23.2,40.0
47.0,98.9500322341919,23.2,40.0
48.0,100.981614112854,23.2,40.0
49.0,103.00879716873169,23.2,41.0
50.0,105.03603029251099,23.2,41.0
51.0,107.0636191368103,23.2,41.0
52.0,109.09119892120361,23.3,41.0
53.0,111.12265229225159,23.3,41.0
54.0,113.14984226226807,23.3,41.0
55.0,115.1775050163269,23.3,41.0
56.0,117.2049069404602,23.4,41.0
57.0,119.23640322685242,23.4,41.0
58.0,121.26352000236511,23.5,42.0
59.0,123.29113698005676,23.5,42.0
60.0,125.31863212585449,23.6,42.0
61.0,127.34614515304565,23.7,42.0
62.0,129.3776261806488,23.8,42.0
63.0,131.40508794784546,24.0,43.0
64.0,133.43227529525757,24.1,43.0
65.0,135.45985913276672,24.3,43.0
66.0,137.4873390197754,24.5,43.0
67.0,139.5186321735382,24.7,43.0
68.0,141.5461790561676,24.9,44.0
69.0,143.57366132736206,25.2,44.0
70.0,145.6009771823883,25.4,44.0
71.0,147.62840914726257,25.7,44.0
72.0,149.65994596481323,26.0,44.0
73.0,151.68737506866455,26.4,43.0
74.0,153.7149202823639,26.7,43.0
75.0,155.74197506904602,27.1,43.0
76.0,157.77348399162292,27.5,43.0
77.0,159.80114912986755,27.8,42.0
