Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,3.623281955718994,23.1,43.0
1.0,5.6507251262664795,23.1,43.0
2.0,7.682397127151489,23.1,43.0
3.0,9.709763050079346,23.1,43.0
4.0,11.737399101257324,23.1,43.0
5.0,13.764568090438843,23.1,43.0
6.0,15.796046257019043,23.1,43.0
7.0,17.823437213897705,23.1,43.0
8.0,21.216034173965454,23.1,43.0
9.0,21.878371238708496,23.1,43.0
10.0,23.909898042678833,23.1,43.0
11.0,25.937628030776978,23.1,43.0
12.0,27.964896202087402,23.1,43.0
13.0,29.992287158966064,23.1,43.0
14.0,32.01971197128296,23.1,43.0
15.0,34.051204204559326,23.1,43.0
16.0,36.07874321937561,23.1,43.0
17.0,38.10589909553528,23.1,43.0
18.0,40.13359808921814,23.1,43.0
19.0,42.165148973464966,23.1,43.0
20.0,44.19243025779724,23.1,43.0
21.0,46.22009515762329,23.1,43.0
22.0,48.247483015060425,23.1,43.0
23.0,50.27466821670532,23.1,43.0
24.0,52.30613613128662,23.1,43.0
25.0,54.33381414413452,23.1,43.0
26.0,56.361029863357544,23.1,43.0
27.0,58.388702154159546,23.1,43.0
28.0,60.41994595527649,23.1,43.0
29.0,62.44327092170715,23.1,43.0
30.0,64.46691417694092,23.1,43.0
31.0,66.49108219146729,23.1,43.0
32.0,68.51546716690063,23.1,43.0
33.0,70.54441022872925,23.1,43.0
34.0,72.56941604614258,23.1,43.0
35.0,74.59508419036865,23.1,43.0
36.0,76.62091493606567,23.1,43.0
37.0,78.65079092979431,23.1,43.0
38.0,80.67709708213806,23.1,43.0
39.0,82.70342516899109,23.1,43.0
40.0,84.72952914237976,23.1,43.0
41.0,86.76002407073975,23.1,43.0
42.0,88.78697085380554,23.1,43.0
43.0,90.81352019309998,23.1,43.0
44.0,92.84044003486633,23.1,43.0
45.0,94.86722207069397,23.1,43.0
46.0,96.89812517166138,23.1,43.0
47.0,98.92520093917847,23.1,43.0
48.0,100.95237827301025,23.1,43.0
49.0,102.97941517829895,23.1,43.0
50.0,105.01057529449463,23.1,43.0
51.0,107.03804922103882,23.1,43.0
52.0,109.06492304801941,23.1,43.0
53.0,111.0923159122467,23.1,43.0
54.0,113.11961197853088,23.1,43.0
55.0,115.15077829360962,23.1,43.0
56.0,117.17845010757446,23.1,43.0
57.0,119.20562410354614,23.1,43.0
58.0,121.23294591903687,23.1,43.0
59.0,123.26440405845642,23.1,43.0
60.0,125.29160404205322,23.1,43.0
61.0,127.31921100616455,23.1,43.0
62.0,129.346586227417,23.1,43.0
63.0,131.37799501419067,23.1,43.0
64.0,133.4053692817688,23.1,43.0
65.0,135.4327518939972,23.1,43.0
66.0,137.45971608161926,23.1,43.0
67.0,139.48732018470764,23.1,43.0
68.0,141.5189859867096,23.1,43.0
69.0,143.54602122306824,23.1,43.0
70.0,145.57382607460022,23.1,43.0
