Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,3.623616933822632,53.5,0.0
1.0,5.651167869567871,53.3,0.0
2.0,7.68265175819397,53.0,0.0
3.0,9.710200071334839,52.7,0.0
4.0,11.737736940383911,52.5,0.0
5.0,13.764911651611328,52.2,0.0
6.0,15.79234504699707,52.0,0.0
7.0,17.819515705108643,51.7,0.0
8.0,19.851441860198975,51.5,0.0
9.0,21.878756046295166,51.2,0.0
10.0,23.905924081802368,51.0,0.0
11.0,25.933551788330078,50.8,0.0
12.0,27.961023807525635,50.5,0.0
13.0,29.988303661346436,50.3,0.0
14.0,32.01575970649719,50.1,0.0
15.0,34.04727387428284,49.8,0.0
16.0,36.07451272010803,49.6,0.0
17.0,38.101950883865356,49.3,0.0
18.0,40.1292839050293,49.1,0.0
19.0,42.15699601173401,48.9,0.0
20.0,44.184146881103516,48.7,0.0
21.0,46.215754985809326,48.4,0.0
22.0,48.24314284324646,48.2,0.0
23.0,50.270612955093384,48.0,0.0
24.0,52.2979838848114,47.7,0.0
25.0,54.325010776519775,47.5,0.0
26.0,56.352720737457275,47.3,0.0
27.0,58.384015798568726,47.1,0.0
28.0,60.411733865737915,46.8,0.0
29.0,62.43920183181763,46.6,0.0
30.0,64.46632695198059,46.4,0.0
31.0,66.49377393722534,46.1,0.0
32.0,68.52123785018921,45.9,0.0
33.0,70.55284380912781,45.7,0.0
34.0,72.57987666130066,45.5,0.0
35.0,74.6072928905487,45.3,0.0
36.0,76.63507890701294,45.1,0.0
37.0,78.66250276565552,44.9,0.0
38.0,80.68978667259216,44.7,0.0
39.0,82.72100400924683,44.4,0.0
40.0,84.74860692024231,44.2,0.0
41.0,86.77619767189026,44.0,0.0
42.0,88.8032968044281,43.8,0.0
43.0,90.83095192909241,43.6,0.0
44.0,92.85818004608154,43.4,0.0
45.0,94.88949990272522,43.2,0.0
46.0,96.91718077659607,43.0,0.0
47.0,98.94453883171082,42.8,0.0
48.0,100.97183680534363,42.6,0.0
49.0,102.99963688850403,42.4,0.0
50.0,105.02680492401123,42.2,0.0
51.0,107.0540657043457,42.0,0.0
52.0,109.08548092842102,41.8,0.0
53.0,111.11331486701965,41.7,0.0
54.0,113.14035606384277,41.5,0.0
55.0,115.16772985458374,41.3,0.0
56.0,117.19544386863708,41.1,1.0
57.0,119.22260594367981,40.9,1.0
58.0,121.24994778633118,40.8,1.0
59.0,123.28152179718018,40.6,1.0
60.0,125.30923175811768,40.4,2.0
61.0,127.3362250328064,40.2,2.0
62.0,129.3635289669037,40.0,2.0
63.0,131.39095902442932,39.9,2.0
64.0,133.4184958934784,39.7,2.0
65.0,135.44993996620178,39.5,3.0
66.0,137.4776418209076,39.4,3.0
67.0,139.50469708442688,39.2,3.0
68.0,141.53216886520386,39.0,4.0
69.0,143.5598108768463,38.9,4.0
70.0,145.59096789360046,38.7,4.0
71.0,147.61865901947021,38.6,5.0
72.0,149.64597082138062,38.4,5.0
73.0,151.67339897155762,38.3,5.0
74.0,153.70069694519043,38.1,5.0
75.0,155.73205971717834,38.0,6.0
76.0,157.75946688652039,37.8,6.0
77.0,159.7869758605957,37.6,6.0
78.0,161.81434273719788,37.5,6.0
79.0,163.84194779396057,37.3,7.0
80.0,165.86920380592346,37.2,7.0
81.0,167.90063786506653,37.1,7.0
82.0,169.928240776062,36.9,7.0
83.0,171.95551896095276,36.8,8.0
84.0,173.98287773132324,36.6,8.0
85.0,176.01048278808594,36.5,8.0
86.0,178.03762292861938,36.4,8.0
87.0,180.06946992874146,36.3,9.0
88.0,182.0965497493744,36.1,9.0
89.0,184.12399196624756,36.0,9.0
90.0,186.1513867378235,35.8,10.0
91.0,188.18285274505615,35.7,10.0
92.0,190.21016693115234,35.6,10.0
93.0,192.23764872550964,35.5,10.0
94.0,194.26514983177185,35.3,11.0
95.0,196.29284381866455,35.2,11.0
96.0,198.3239619731903,35.1,11.0
97.0,200.3514449596405,35.0,12.0
98.0,202.37868881225586,34.9,12.0
99.0,204.40616703033447,34.8,12.0
100.0,206.43364596366882,34.6,12.0
101.0,208.46528100967407,34.5,12.0
102.0,210.49284291267395,34.4,13.0
103.0,212.51989483833313,34.3,13.0
104.0,214.5476520061493,34.2,13.0
105.0,216.5748748779297,34.1,14.0
106.0,218.60632395744324,33.9,14.0
107.0,220.63370084762573,33.8,14.0
108.0,222.66133284568787,33.7,15.0
109.0,224.68843579292297,33.6,15.0
110.0,226.715744972229,33.5,15.0
111.0,228.7473418712616,33.4,15.0
112.0,230.77490973472595,33.3,15.0
113.0,232.80215692520142,33.2,16.0
114.0,234.82974672317505,33.1,16.0
115.0,236.85721278190613,33.0,16.0
116.0,238.88845086097717,32.9,16.0
117.0,240.91579484939575,32.8,17.0
118.0,242.94324707984924,32.7,17.0
119.0,244.97062587738037,32.6,17.0
120.0,246.99813175201416,32.5,17.0
121.0,249.0256507396698,32.4,17.0
122.0,251.05711793899536,32.3,18.0
123.0,253.08436179161072,32.2,18.0
124.0,255.11211109161377,32.1,18.0
125.0,257.13951992988586,32.1,19.0
126.0,259.1665868759155,32.0,19.0
127.0,261.19822573661804,31.9,19.0
128.0,263.2253849506378,31.8,19.0
129.0,265.2529468536377,31.7,19.0
130.0,267.2803659439087,31.6,20.0
131.0,269.3079788684845,31.5,20.0
132.0,271.3392469882965,31.5,20.0
133.0,273.3666138648987,31.4,20.0
134.0,275.39428877830505,31.3,21.0
135.0,277.4212737083435,31.2,21.0
136.0,279.4528307914734,31.1,21.0
137.0,281.4803659915924,31.1,21.0
138.0,283.5077350139618,31.0,21.0
139.0,285.5350568294525,30.9,21.0
140.0,287.56661772727966,30.8,22.0
