Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,3.623833179473877,23.2,39.0
1.0,5.654894113540649,23.2,39.0
2.0,7.682459831237793,23.2,39.0
3.0,9.709884881973267,23.2,39.0
4.0,11.737508058547974,23.2,39.0
5.0,13.764922142028809,23.2,39.0
6.0,15.796014070510864,23.2,39.0
7.0,17.82341194152832,23.2,39.0
8.0,19.850931882858276,23.2,39.0
9.0,21.878520011901855,23.2,39.0
10.0,23.90603995323181,23.2,39.0
11.0,25.937487840652466,23.2,39.0
12.0,27.9649338722229,23.2,39.0
13.0,29.992283821105957,23.2,39.0
14.0,32.019737005233765,23.2,39.0
15.0,34.04675507545471,23.2,39.0
16.0,36.078572034835815,23.2,40.0
17.0,38.10590887069702,23.3,40.0
18.0,40.13320708274841,23.3,40.0
19.0,42.160507917404175,23.3,40.0
20.0,44.18793487548828,23.4,40.0
21.0,46.219375133514404,23.4,40.0
22.0,48.246768951416016,23.5,40.0
23.0,50.27420687675476,23.6,41.0
24.0,52.30186605453491,23.7,41.0
25.0,54.32926893234253,23.8,41.0
26.0,56.36051392555237,24.0,41.0
27.0,58.38796591758728,24.1,41.0
28.0,60.41539192199707,24.3,41.0
29.0,62.4428448677063,24.5,42.0
30.0,64.5104169845581,24.7,42.0
31.0,66.50153088569641,24.9,42.0
32.0,68.52936911582947,25.2,42.0
33.0,70.55672597885132,25.5,42.0
34.0,72.58427381515503,25.8,42.0
35.0,74.61159181594849,26.1,42.0
36.0,76.64311099052429,26.5,41.0
37.0,78.6705641746521,26.9,41.0
38.0,80.69782996177673,27.2,41.0
39.0,82.72537016868591,27.6,41.0
40.0,84.75275993347168,28.0,40.0
41.0,86.78399682044983,28.5,40.0
42.0,88.81168794631958,28.9,40.0
43.0,90.83897995948792,29.3,39.0
44.0,92.86631608009338,29.8,38.0
45.0,94.89396715164185,30.2,38.0
46.0,96.92534399032593,30.6,37.0
47.0,98.95268607139587,31.0,36.0
48.0,100.98021817207336,31.4,35.0
49.0,103.00765800476074,31.8,35.0
50.0,105.03491306304932,32.2,34.0
51.0,107.06648302078247,32.5,33.0
52.0,109.09393692016602,32.9,32.0
53.0,111.12131190299988,33.2,32.0
54.0,113.14878392219543,33.5,31.0
55.0,115.17590498924255,33.8,30.0
56.0,117.20720410346985,34.1,30.0
57.0,119.2350640296936,34.4,29.0
58.0,121.2624499797821,34.6,28.0
59.0,125.30061388015747,34.9,28.0
60.0,125.51187896728516,35.1,27.0
61.0,127.34875583648682,35.3,27.0
62.0,129.37616205215454,35.5,26.0
63.0,131.40338516235352,35.7,25.0
64.0,133.430645942688,35.9,25.0
65.0,135.45800709724426,36.0,24.0
66.0,137.48980617523193,36.2,24.0
67.0,139.51702284812927,36.3,23.0
68.0,141.54468774795532,36.5,23.0
69.0,143.57197093963623,36.6,23.0
70.0,145.599426984787,36.7,22.0
71.0,147.6310169696808,36.8,22.0
72.0,149.65842413902283,36.9,21.0
73.0,151.68583297729492,37.0,21.0
74.0,153.7130868434906,37.0,21.0
75.0,155.7407088279724,37.1,20.0
76.0,157.77201795578003,37.2,20.0
77.0,159.7994921207428,37.2,20.0
78.0,161.82686805725098,37.3,19.0
