Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,3.6260979175567627,23.3,39.0
1.0,5.653602838516235,23.3,39.0
2.0,7.685232877731323,23.3,39.0
3.0,9.712257862091064,23.3,39.0
4.0,11.739743947982788,23.3,39.0
5.0,13.767521858215332,23.3,39.0
6.0,15.79472279548645,23.3,39.0
7.0,17.82611107826233,23.3,39.0
8.0,19.853893995285034,23.3,39.0
9.0,21.88136887550354,23.3,39.0
10.0,23.90866994857788,23.3,39.0
11.0,25.940208911895752,23.3,39.0
12.0,27.967348098754883,23.3,39.0
13.0,29.99490189552307,23.3,39.0
14.0,32.02255702018738,23.3,39.0
15.0,34.05399775505066,23.3,39.0
16.0,36.08149480819702,23.3,39.0
17.0,38.10886096954346,23.3,39.0
18.0,40.13629698753357,23.3,39.0
19.0,42.163410902023315,23.3,39.0
20.0,44.19516396522522,23.3,39.0
21.0,46.222453117370605,23.3,39.0
22.0,48.249953746795654,23.3,39.0
23.0,50.27733898162842,23.3,39.0
24.0,52.30867886543274,23.3,39.0
25.0,54.33651280403137,23.3,39.0
26.0,56.36383891105652,23.3,39.0
27.0,58.39128613471985,23.3,39.0
28.0,60.418768882751465,23.3,39.0
29.0,62.45017981529236,23.3,40.0
30.0,64.47770190238953,23.4,40.0
31.0,66.50509285926819,23.4,40.0
32.0,68.53219389915466,23.4,40.0
33.0,70.55999398231506,23.5,40.0
34.0,72.59115695953369,23.5,40.0
35.0,74.6188428401947,23.6,40.0
36.0,76.64629793167114,23.6,40.0
37.0,78.67379784584045,23.7,41.0
38.0,80.7049880027771,23.8,41.0
39.0,82.73254203796387,23.9,41.0
40.0,84.75965690612793,24.1,41.0
41.0,86.78748607635498,24.2,41.0
42.0,88.81494474411011,24.3,41.0
43.0,90.84641170501709,24.5,41.0
44.0,92.87391495704651,24.7,42.0
45.0,94.90089082717896,24.9,42.0
46.0,98.85082793235779,25.1,42.0
47.0,99.03633999824524,25.3,42.0
48.0,100.98761200904846,25.5,42.0
49.0,103.01501488685608,25.8,41.0
50.0,105.04248690605164,26.0,41.0
51.0,107.06993389129639,26.3,41.0
52.0,109.09736585617065,26.5,41.0
53.0,111.1286690235138,26.8,41.0
54.0,113.15625786781311,27.1,41.0
55.0,115.1836769580841,27.4,40.0
56.0,117.21086287498474,27.6,40.0
57.0,119.23858213424683,27.9,40.0
58.0,121.26987981796265,28.2,39.0
59.0,123.29759001731873,28.5,39.0
60.0,125.32485103607178,28.8,38.0
61.0,127.3521659374237,29.1,38.0
62.0,129.3797788619995,29.5,38.0
63.0,131.41121792793274,29.8,37.0
64.0,133.43874597549438,30.1,37.0
65.0,135.52187776565552,30.4,36.0
66.0,137.54933786392212,30.7,36.0
67.0,139.58067798614502,31.0,35.0
68.0,141.6083219051361,31.3,35.0
69.0,143.63554692268372,31.5,34.0
70.0,145.66320490837097,31.8,33.0
71.0,147.69031310081482,32.1,33.0
72.0,149.7221610546112,32.3,32.0
73.0,151.74959588050842,32.5,31.0
74.0,153.77706503868103,32.8,31.0
75.0,155.80440878868103,33.0,30.0
76.0,157.8319969177246,33.2,30.0
77.0,159.86301493644714,33.4,29.0
78.0,161.89089274406433,33.6,29.0
79.0,163.9179790019989,33.8,28.0
80.0,165.94579482078552,33.9,28.0
81.0,167.97329807281494,34.1,27.0
82.0,170.00455570220947,34.2,27.0
83.0,172.03218793869019,34.3,26.0
84.0,174.05964398384094,34.5,26.0
85.0,176.08685898780823,34.6,26.0
86.0,178.11431193351746,34.7,25.0
87.0,180.14602780342102,34.8,25.0
88.0,182.17305994033813,34.9,25.0
89.0,184.20082092285156,35.0,24.0
90.0,186.22793674468994,35.0,24.0
91.0,188.2557408809662,35.1,23.0
92.0,190.2872200012207,35.2,23.0
93.0,192.31471586227417,35.2,23.0
94.0,194.34187293052673,35.3,23.0
95.0,196.36932373046875,35.3,22.0
96.0,198.39693593978882,35.4,22.0
97.0,200.4282579421997,35.4,22.0
98.0,202.455992937088,35.4,22.0
99.0,204.4834587574005,35.4,22.0
