Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,3.6259589195251465,23.9,46.0
1.0,5.6536338329315186,23.9,46.0
2.0,7.680905103683472,23.8,46.0
3.0,9.708518028259277,23.8,46.0
4.0,11.735994815826416,23.8,46.0
5.0,13.767457962036133,23.8,46.0
6.0,15.79485011100769,23.8,46.0
7.0,17.82231879234314,23.8,46.0
8.0,19.849729776382446,23.8,46.0
9.0,21.881187915802002,23.8,46.0
10.0,23.908311128616333,23.8,46.0
11.0,25.936012744903564,23.8,46.0
12.0,27.963493824005127,23.8,46.0
13.0,29.99490213394165,23.8,46.0
14.0,32.02233386039734,23.7,46.0
15.0,34.0497510433197,23.7,46.0
16.0,36.0772008895874,23.7,46.0
17.0,38.10462689399719,23.7,46.0
18.0,40.135709047317505,23.7,46.0
19.0,42.16348695755005,23.7,46.0
20.0,44.19092106819153,23.7,46.0
21.0,46.218395948410034,23.7,46.0
22.0,48.24981999397278,23.7,46.0
23.0,50.27713489532471,23.7,46.0
24.0,52.30471611022949,23.7,46.0
25.0,54.33207392692566,23.7,46.0
26.0,56.36345195770264,23.7,46.0
27.0,58.39096713066101,23.7,46.0
28.0,60.41844201087952,23.7,46.0
29.0,62.44591188430786,23.6,46.0
30.0,64.47730374336243,23.6,46.0
31.0,66.50443983078003,23.6,46.0
32.0,68.53195095062256,23.6,46.0
33.0,70.55914497375488,23.7,46.0
34.0,72.59105205535889,23.7,46.0
35.0,74.61853289604187,23.7,46.0
36.0,76.64598107337952,23.7,47.0
37.0,78.67341494560242,23.7,47.0
38.0,80.70481991767883,23.8,47.0
39.0,82.73223614692688,23.8,47.0
40.0,84.75963091850281,23.8,47.0
41.0,86.78692102432251,23.9,48.0
42.0,88.81456112861633,23.9,48.0
43.0,90.84601998329163,24.0,48.0
44.0,92.87326502799988,24.1,48.0
45.0,94.90081214904785,24.1,49.0
46.0,96.92822980880737,24.2,49.0
47.0,98.95568990707397,24.3,49.0
48.0,100.98706889152527,24.4,49.0
49.0,103.01432704925537,24.5,50.0
50.0,105.0416431427002,24.6,50.0
51.0,107.06923604011536,24.8,50.0
52.0,109.09683895111084,24.9,50.0
53.0,111.12424087524414,25.1,50.0
54.0,113.15570092201233,25.2,50.0
55.0,115.18309998512268,25.4,50.0
56.0,117.21058797836304,25.6,51.0
57.0,119.23759484291077,25.7,51.0
58.0,121.26945281028748,25.9,51.0
59.0,123.29689884185791,26.1,51.0
60.0,125.3242838382721,26.3,51.0
61.0,127.35173988342285,26.5,51.0
62.0,129.37917399406433,26.7,50.0
63.0,131.41038179397583,26.9,50.0
64.0,133.43777108192444,27.2,50.0
65.0,135.46545791625977,27.4,50.0
66.0,137.49299597740173,27.6,50.0
