Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,3.6254372596740723,23.3,39.0
1.0,5.652996063232422,23.3,39.0
2.0,7.680307149887085,23.3,39.0
3.0,9.707844018936157,23.3,39.0
4.0,11.739208936691284,23.3,39.0
5.0,13.766545057296753,23.3,39.0
6.0,15.79403018951416,23.3,39.0
7.0,17.82148313522339,23.3,39.0
8.0,19.852969884872437,23.3,39.0
9.0,21.880163192749023,23.3,39.0
10.0,23.907798051834106,23.3,39.0
11.0,25.935073137283325,23.3,39.0
12.0,27.962496042251587,23.3,39.0
13.0,29.99352216720581,23.3,39.0
14.0,32.021358013153076,23.3,39.0
15.0,34.048354148864746,23.3,39.0
16.0,36.07605195045471,23.3,39.0
17.0,38.107223987579346,23.3,39.0
18.0,40.135024070739746,23.3,39.0
19.0,42.162429094314575,23.3,39.0
20.0,44.18976402282715,23.3,39.0
21.0,46.21689319610596,23.3,39.0
22.0,48.24863409996033,23.3,39.0
23.0,50.275667905807495,23.3,39.0
24.0,52.30346417427063,23.3,39.0
25.0,54.330764055252075,23.4,39.0
26.0,56.36210918426514,23.4,39.0
27.0,58.38959622383118,23.4,39.0
28.0,60.417009115219116,23.4,40.0
29.0,62.444299936294556,23.4,40.0
30.0,64.47173023223877,23.5,40.0
31.0,66.50318717956543,23.5,40.0
32.0,68.53035426139832,23.6,40.0
33.0,70.55773901939392,23.6,40.0
34.0,72.58561205863953,23.7,40.0
35.0,74.61285924911499,23.7,40.0
36.0,76.64444327354431,23.8,40.0
37.0,78.67177510261536,23.9,40.0
38.0,80.6992073059082,24.0,40.0
39.0,82.72649908065796,24.1,41.0
40.0,84.75375008583069,24.3,41.0
41.0,86.78539609909058,24.4,41.0
42.0,88.8127121925354,24.5,41.0
43.0,90.84033417701721,24.7,41.0
44.0,92.86749529838562,24.9,41.0
45.0,94.8946852684021,25.1,41.0
46.0,96.92641830444336,25.3,41.0
47.0,98.95380210876465,25.5,41.0
48.0,100.98104119300842,25.7,41.0
49.0,103.00827813148499,26.0,41.0
50.0,105.03569602966309,26.2,41.0
51.0,107.06718015670776,26.5,41.0
52.0,109.09473824501038,26.7,40.0
53.0,111.12233114242554,27.0,40.0
54.0,113.14937710762024,27.3,40.0
55.0,115.17687606811523,27.5,40.0
56.0,117.20835208892822,27.8,39.0
57.0,119.23576807975769,28.1,39.0
58.0,121.26314496994019,28.4,39.0
59.0,123.29064702987671,28.7,38.0
60.0,125.32181906700134,28.9,38.0
61.0,127.34962105751038,29.3,37.0
62.0,129.37709522247314,29.6,37.0
63.0,131.4044201374054,29.9,37.0
64.0,133.4314832687378,30.2,36.0
65.0,135.4632031917572,30.5,36.0
66.0,137.4906940460205,30.8,35.0
67.0,139.51757216453552,31.1,35.0
68.0,141.54518008232117,31.4,34.0
69.0,143.57242107391357,31.8,34.0
70.0,145.60406613349915,32.1,33.0
71.0,147.6317150592804,32.4,33.0
72.0,149.65902996063232,32.7,32.0
73.0,151.68634414672852,33.0,32.0
74.0,153.71391606330872,33.4,31.0
75.0,155.74528813362122,33.7,31.0
76.0,157.77253127098083,34.0,30.0
77.0,159.80012893676758,34.3,30.0
78.0,161.82746696472168,34.6,29.0
79.0,163.8549120426178,35.0,28.0
80.0,165.88627409934998,35.3,28.0
81.0,167.91377520561218,35.6,27.0
82.0,169.94116401672363,35.9,27.0
83.0,171.96853399276733,36.2,26.0
84.0,173.99589133262634,36.5,26.0
85.0,176.02728605270386,36.8,25.0
86.0,178.05483412742615,37.1,24.0
87.0,180.08219814300537,37.4,24.0
88.0,182.10934400558472,37.8,23.0
89.0,184.13666105270386,38.1,23.0
90.0,186.16825699806213,38.4,22.0
91.0,188.19569611549377,38.7,22.0
92.0,190.22313499450684,38.9,21.0
93.0,192.25031304359436,39.3,21.0
94.0,194.278076171875,39.5,20.0
95.0,196.30946516990662,39.8,19.0
96.0,198.33692526817322,40.1,19.0
97.0,200.36431312561035,40.4,18.0
98.0,202.39168524742126,40.7,18.0
99.0,204.419105052948,41.0,17.0
100.0,206.4505000114441,41.2,16.0
101.0,208.47798109054565,41.5,16.0
102.0,210.50501012802124,41.7,15.0
103.0,212.53276324272156,41.9,15.0
104.0,214.56393003463745,42.1,14.0
105.0,216.59147310256958,42.4,14.0
106.0,218.61854314804077,42.6,13.0
107.0,220.6460258960724,42.7,12.0
108.0,222.67780709266663,42.9,12.0
109.0,224.70504021644592,43.0,11.0
110.0,226.7326581478119,43.2,11.0
111.0,228.75991129875183,43.3,10.0
112.0,230.78745317459106,43.4,10.0
113.0,232.81884622573853,43.5,10.0
114.0,234.84623622894287,43.6,9.0
115.0,236.87366700172424,43.7,9.0
116.0,238.901034116745,43.8,8.0
117.0,240.9284679889679,43.8,8.0
118.0,242.955628156662,43.9,7.0
119.0,244.98711013793945,43.9,7.0
120.0,247.01437425613403,43.9,7.0
121.0,249.04191207885742,43.9,7.0
122.0,251.0695080757141,43.9,6.0
123.0,253.10078716278076,43.9,6.0
124.0,255.1283881664276,43.9,6.0
125.0,257.15540194511414,43.9,6.0
126.0,259.18314003944397,43.9,6.0
127.0,261.2106170654297,43.9,5.0
128.0,263.24201488494873,43.8,5.0
129.0,265.2694020271301,43.8,5.0
130.0,267.29658794403076,43.7,5.0
131.0,269.3241620063782,43.7,5.0
132.0,271.35137915611267,43.6,5.0
133.0,273.38306522369385,43.6,4.0
134.0,275.4105463027954,43.5,4.0
135.0,277.43787693977356,43.4,4.0
136.0,279.465252161026,43.3,4.0
137.0,281.49262619018555,43.3,4.0
138.0,283.5240750312805,43.2,4.0
139.0,285.55149507522583,43.1,4.0
140.0,287.5788881778717,43.0,4.0
141.0,289.60603427886963,42.9,4.0
142.0,291.63371419906616,42.8,4.0
143.0,293.6649069786072,42.7,4.0
144.0,295.6921191215515,42.6,4.0
145.0,297.7199249267578,42.4,4.0
146.0,299.74735617637634,42.3,4.0
147.0,301.7746932506561,42.2,4.0
148.0,303.80213022232056,42.1,4.0
149.0,305.83354902267456,42.0,5.0
150.0,307.86087918281555,41.9,5.0
151.0,309.88828325271606,41.7,5.0
152.0,311.9157931804657,41.6,5.0
153.0,313.9428491592407,41.5,5.0
154.0,315.97470808029175,41.4,5.0
155.0,318.0017430782318,41.3,5.0
156.0,320.0294301509857,41.1,5.0
157.0,322.05663299560547,41.0,5.0
158.0,324.08410000801086,40.9,5.0
159.0,326.1154942512512,40.7,5.0
160.0,328.1429319381714,40.6,6.0
161.0,330.1702802181244,40.5,6.0
162.0,332.1977472305298,40.3,6.0
163.0,334.22501015663147,40.2,6.0
164.0,336.252268075943,40.1,6.0
165.0,338.2840721607208,39.9,6.0
166.0,340.31129598617554,39.8,6.0
167.0,342.3387861251831,39.6,6.0
168.0,344.3662519454956,39.5,6.0
169.0,346.3936948776245,39.4,6.0
170.0,348.42481303215027,39.3,6.0
171.0,350.4523010253906,39.1,7.0
172.0,352.47962498664856,39.0,7.0
173.0,354.50718116760254,38.9,7.0
174.0,356.535108089447,38.7,7.0
175.0,358.5658130645752,38.6,7.0
176.0,360.5935730934143,38.5,7.0
177.0,362.6206681728363,38.3,8.0
178.0,364.648236989975,38.2,8.0
179.0,366.67545318603516,38.1,8.0
180.0,368.7068772315979,38.0,8.0
181.0,372.62773394584656,37.8,8.0
182.0,372.84166407585144,37.7,8.0
183.0,374.7891802787781,37.6,9.0
184.0,376.81682419776917,37.4,9.0
185.0,378.8478410243988,37.3,9.0
186.0,380.8755190372467,37.2,9.0
187.0,382.9030063152313,37.1,9.0
188.0,384.93025302886963,36.9,10.0
189.0,386.9615499973297,36.8,10.0
190.0,388.9893879890442,36.7,10.0
191.0,391.01670813560486,36.6,10.0
192.0,393.04374408721924,36.5,10.0
193.0,395.07114815711975,36.4,10.0
194.0,397.10265612602234,36.2,11.0
195.0,399.12993001937866,36.1,11.0
196.0,401.1577351093292,36.0,11.0
197.0,403.18478322029114,35.9,11.0
198.0,405.2125370502472,35.8,11.0
199.0,407.24394607543945,35.7,11.0
200.0,409.2709391117096,35.5,11.0
201.0,411.2987062931061,35.4,11.0
202.0,413.3259971141815,35.3,12.0
203.0,415.35350131988525,35.2,12.0
204.0,417.3849799633026,35.1,12.0
205.0,419.41238617897034,35.0,13.0
206.0,421.43973112106323,34.9,13.0
207.0,423.4672088623047,34.8,13.0
208.0,425.4945330619812,34.6,13.0
209.0,427.5256769657135,34.5,13.0
210.0,429.55342721939087,34.4,13.0
211.0,431.5808801651001,34.3,13.0
212.0,433.6081280708313,34.2,14.0
213.0,435.6355640888214,34.1,14.0
214.0,437.66692304611206,34.0,14.0
215.0,439.6944692134857,33.9,14.0
216.0,441.72192215919495,33.8,14.0
217.0,443.74887919425964,33.7,15.0
218.0,445.77645993232727,33.6,15.0
219.0,447.80796694755554,33.5,15.0
220.0,449.83552503585815,33.4,15.0
221.0,451.86293506622314,33.3,15.0
222.0,453.89036321640015,33.2,15.0
223.0,455.91759991645813,33.1,16.0
224.0,457.9491572380066,33.0,16.0
225.0,459.9765450954437,32.9,16.0
226.0,462.00393509864807,32.9,16.0
227.0,464.0313091278076,32.8,16.0
228.0,466.05878615379333,32.7,16.0
229.0,468.08615231513977,32.6,16.0
230.0,470.11743211746216,32.5,16.0
231.0,472.1449909210205,32.4,17.0
232.0,474.1723201274872,32.3,17.0
233.0,476.1997780799866,32.2,17.0
234.0,478.2271580696106,32.2,17.0
