Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,3.6264700889587402,23.2,39.0
1.0,5.653753042221069,23.2,39.0
2.0,7.680800914764404,23.2,39.0
3.0,9.708256006240845,23.2,39.0
4.0,11.735974073410034,23.2,39.0
5.0,13.767405986785889,23.2,39.0
6.0,15.794824123382568,23.2,39.0
7.0,17.82231593132019,23.2,39.0
8.0,19.849621057510376,23.2,39.0
9.0,21.877173900604248,23.2,39.0
10.0,23.908501863479614,23.2,39.0
11.0,25.93584895133972,23.2,39.0
12.0,27.963379859924316,23.2,39.0
13.0,29.99083113670349,23.2,39.0
14.0,32.01823902130127,23.2,39.0
15.0,34.04929208755493,23.2,39.0
16.0,36.077075242996216,23.2,39.0
17.0,38.10407209396362,23.2,39.0
18.0,40.13170504570007,23.2,39.0
19.0,42.15898418426514,23.2,40.0
20.0,44.19060492515564,23.3,40.0
21.0,46.21798610687256,23.3,40.0
22.0,48.24559807777405,23.3,40.0
23.0,50.27256107330322,23.3,40.0
24.0,52.300252199172974,23.4,40.0
25.0,54.33148503303528,23.5,40.0
26.0,56.35895895957947,23.5,41.0
27.0,58.386234998703,23.6,41.0
28.0,60.413788080215454,23.7,41.0
29.0,62.44550895690918,23.8,41.0
30.0,64.472491979599,24.0,41.0
31.0,66.50032711029053,24.1,41.0
32.0,68.52756118774414,24.3,41.0
33.0,70.55512690544128,24.5,42.0
34.0,72.5865650177002,24.7,42.0
35.0,74.61370015144348,24.9,42.0
36.0,76.64140796661377,25.1,42.0
37.0,78.66885590553284,25.4,42.0
38.0,80.69634103775024,25.6,42.0
39.0,82.72776794433594,25.9,42.0
40.0,86.64947509765625,26.2,42.0
41.0,86.81061387062073,26.6,41.0
42.0,88.80992007255554,26.9,41.0
43.0,90.83717107772827,27.2,41.0
44.0,92.86869287490845,27.6,41.0
45.0,94.89634609222412,27.9,40.0
46.0,96.92334723472595,28.3,40.0
47.0,98.95073986053467,28.7,39.0
48.0,100.97844290733337,29.0,39.0
49.0,103.009929895401,29.4,38.0
50.0,105.03752899169922,29.7,38.0
51.0,107.06471800804138,30.1,37.0
52.0,109.09233498573303,30.4,37.0
53.0,111.12373805046082,30.8,36.0
54.0,113.15126204490662,31.1,35.0
55.0,115.17836785316467,31.4,35.0
56.0,117.20594501495361,31.7,34.0
57.0,119.23354697227478,32.0,33.0
58.0,121.2607889175415,32.2,33.0
59.0,123.29212403297424,32.5,32.0
60.0,125.31954717636108,32.7,32.0
61.0,127.34722208976746,33.0,31.0
62.0,129.37460017204285,33.2,30.0
63.0,131.40192985534668,33.4,30.0
64.0,133.43306422233582,33.6,29.0
65.0,135.46053504943848,33.8,29.0
66.0,137.48813605308533,33.9,28.0
67.0,139.51579117774963,34.1,28.0
68.0,141.54280400276184,34.3,27.0
69.0,143.57436895370483,34.4,27.0
70.0,145.60185503959656,34.5,27.0
71.0,147.62946200370789,34.7,26.0
72.0,149.65654492378235,34.8,26.0
73.0,151.68437504768372,34.9,25.0
74.0,153.71582889556885,35.0,25.0
75.0,155.7428719997406,35.1,25.0
76.0,157.77039194107056,35.1,24.0
77.0,159.79797506332397,35.2,24.0
78.0,161.82548117637634,35.3,24.0
79.0,163.85683393478394,35.4,23.0
80.0,165.88440108299255,35.4,23.0
81.0,167.91172814369202,35.5,23.0
82.0,169.93913102149963,35.5,22.0
83.0,171.9706962108612,35.5,22.0
84.0,173.9981119632721,35.6,22.0
85.0,176.0255401134491,35.6,22.0
86.0,178.05297088623047,35.6,21.0
87.0,180.08429408073425,35.6,21.0
88.0,182.11173105239868,35.6,21.0
89.0,184.13933992385864,35.6,21.0
90.0,186.16644716262817,35.6,20.0
91.0,188.19409918785095,35.6,20.0
92.0,190.2255620956421,35.6,20.0
93.0,192.25297904014587,35.6,20.0
94.0,194.28046894073486,35.6,20.0
95.0,196.30787920951843,35.6,20.0
96.0,198.339280128479,35.5,20.0
97.0,200.36674809455872,35.5,19.0
98.0,202.3941969871521,35.5,19.0
99.0,204.42119812965393,35.5,19.0
100.0,206.4486849308014,35.4,19.0
101.0,208.48019409179688,35.4,19.0
102.0,210.5076401233673,35.3,19.0
103.0,212.53530311584473,35.3,19.0
104.0,214.56276512145996,35.3,19.0
105.0,216.58997702598572,35.2,19.0
106.0,218.62145614624023,35.2,19.0
107.0,220.64903903007507,35.1,19.0
108.0,222.67649292945862,35.1,19.0
109.0,224.70379114151,35.0,19.0
110.0,226.7353150844574,34.9,19.0
111.0,228.76278495788574,34.9,19.0
112.0,230.7902021408081,34.8,19.0
113.0,232.81745982170105,34.8,19.0
114.0,234.84509205818176,34.7,19.0
115.0,236.87647891044617,34.6,19.0
116.0,238.9039762020111,34.6,19.0
117.0,240.93129801750183,34.5,19.0
118.0,242.958811044693,34.4,19.0
119.0,244.98609614372253,34.4,19.0
120.0,247.01757097244263,34.3,19.0
121.0,249.0451180934906,34.2,19.0
122.0,251.07253003120422,34.2,19.0
123.0,253.09997415542603,34.1,19.0
124.0,255.12707090377808,34.0,19.0
125.0,257.15880489349365,33.9,19.0
126.0,259.18616104125977,33.9,19.0
127.0,261.21341609954834,33.8,19.0
128.0,263.2408330440521,33.7,19.0
129.0,265.27255296707153,33.7,19.0
130.0,267.3000020980835,33.6,19.0
131.0,269.32742285728455,33.5,20.0
132.0,271.3548321723938,33.4,20.0
133.0,273.3820378780365,33.4,20.0
134.0,275.41371512413025,33.3,20.0
135.0,277.44082713127136,33.2,20.0
136.0,279.4685730934143,33.1,20.0
137.0,281.49600291252136,33.1,20.0
138.0,283.5230140686035,33.0,20.0
139.0,285.5504410266876,32.9,20.0
140.0,287.5818660259247,32.8,20.0
141.0,289.6097819805145,32.8,20.0
142.0,291.6372230052948,32.7,20.0
143.0,293.6644220352173,32.6,20.0
144.0,295.6919159889221,32.5,20.0
145.0,297.72343397140503,32.4,21.0
146.0,299.75079226493835,32.4,21.0
147.0,301.77803111076355,32.3,21.0
148.0,303.8056240081787,32.2,21.0
149.0,305.8331570625305,32.2,21.0
150.0,307.8646240234375,32.1,21.0
151.0,309.8919789791107,32.0,21.0
152.0,311.91953921318054,31.9,21.0
153.0,313.94682908058167,31.9,21.0
154.0,315.9744071960449,31.8,21.0
155.0,318.0057430267334,31.7,21.0
156.0,320.03327894210815,31.7,21.0
157.0,322.0606760978699,31.6,21.0
158.0,324.08796525001526,31.5,22.0
159.0,326.1195020675659,31.5,22.0
160.0,328.14689803123474,31.4,22.0
161.0,330.17401003837585,31.3,22.0
162.0,332.2017819881439,31.3,22.0
163.0,334.23329997062683,31.2,22.0
164.0,336.26068115234375,31.1,22.0
165.0,338.2879829406738,31.1,23.0
166.0,340.31520199775696,31.0,23.0
167.0,342.34704399108887,30.9,23.0
