Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,2.621678113937378,22.7,48.0
1.0,3.625007152557373,22.7,48.0
2.0,4.653137922286987,22.7,48.0
3.0,5.652237176895142,22.7,48.0
4.0,6.6806111335754395,22.7,48.0
5.0,7.683725118637085,22.7,48.0
6.0,8.711963891983032,22.7,48.0
7.0,9.711015939712524,22.7,48.0
8.0,10.739268064498901,22.7,48.0
9.0,11.74289584159851,22.7,48.0
10.0,12.770864009857178,22.7,48.0
11.0,13.770254135131836,22.7,48.0
12.0,14.798357963562012,22.7,48.0
13.0,15.80180311203003,22.7,48.0
14.0,16.82567811012268,22.7,48.0
15.0,17.82880997657776,22.7,48.0
16.0,18.857205152511597,22.7,48.0
17.0,19.86066198348999,22.7,48.0
18.0,20.884639978408813,22.7,48.0
19.0,21.887717962265015,22.7,48.0
20.0,22.915887117385864,22.7,48.0
21.0,23.915302991867065,22.7,48.0
22.0,24.94361710548401,22.7,48.0
23.0,25.94688892364502,22.7,48.0
24.0,26.974894046783447,22.7,48.0
25.0,27.97440218925476,22.7,48.0
26.0,29.00245213508606,22.7,48.0
27.0,30.005844116210938,22.7,48.0
28.0,31.033889055252075,22.7,48.0
29.0,32.03319311141968,22.7,48.0
30.0,33.060917139053345,22.7,48.0
31.0,34.06454300880432,22.7,48.0
32.0,35.08866786956787,22.7,48.0
33.0,36.09188795089722,22.7,48.0
34.0,37.11988401412964,22.7,48.0
35.0,38.11933708190918,22.7,48.0
36.0,39.147377014160156,22.7,48.0
37.0,40.15074300765991,22.7,48.0
38.0,41.178961992263794,22.7,48.0
39.0,42.17838907241821,22.7,48.0
40.0,43.20626521110535,22.7,48.0
41.0,44.20962405204773,22.7,48.0
42.0,45.23783612251282,22.7,48.0
43.0,46.23706293106079,22.7,48.0
44.0,47.265292167663574,22.7,48.0
45.0,48.268741846084595,22.7,48.0
46.0,49.29278492927551,22.7,48.0
47.0,50.29605722427368,22.7,48.0
48.0,51.3240761756897,22.7,48.0
49.0,52.32765793800354,22.7,48.0
50.0,53.3515191078186,22.7,48.0
51.0,54.35512709617615,22.7,48.0
52.0,55.38313817977905,22.7,48.0
53.0,56.38259506225586,22.7,48.0
54.0,57.4106719493866,22.7,48.0
55.0,58.414031982421875,22.7,48.0
56.0,59.44172286987305,22.7,48.0
57.0,60.441487073898315,22.7,48.0
58.0,61.469155073165894,22.7,48.0
59.0,62.472819089889526,22.7,48.0
60.0,63.49671196937561,22.7,48.0
61.0,64.50025606155396,22.7,48.0
62.0,65.52818512916565,22.7,48.0
63.0,66.5316870212555,22.7,48.0
64.0,67.55582594871521,22.7,48.0
65.0,68.55915021896362,22.7,48.0
66.0,69.58690905570984,22.7,48.0
67.0,70.58640694618225,22.7,48.0
68.0,71.61426210403442,22.7,48.0
69.0,72.61777305603027,22.7,48.0
70.0,73.64573502540588,22.7,48.0
71.0,74.64514303207397,22.7,48.0
72.0,75.673504114151,22.7,48.0
73.0,76.67664217948914,22.7,48.0
74.0,77.70470809936523,22.7,48.0
75.0,78.70461297035217,22.7,48.0
76.0,79.73246312141418,22.8,48.0
77.0,80.73563194274902,22.8,48.0
78.0,81.75961923599243,22.8,49.0
79.0,82.76336407661438,22.8,49.0
80.0,83.79125499725342,22.8,49.0
81.0,84.79057908058167,22.8,49.0
82.0,85.8187689781189,22.9,49.0
83.0,86.82222104072571,22.9,49.0
84.0,87.8502128124237,22.9,49.0
85.0,88.84957218170166,22.9,49.0
86.0,89.8775622844696,23.0,50.0
