Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,3.621453046798706,23.4,43.0
1.0,5.652517080307007,23.4,43.0
2.0,7.6800830364227295,23.4,43.0
3.0,9.707704067230225,23.4,43.0
4.0,11.735186100006104,23.4,43.0
5.0,13.76658821105957,23.4,43.0
6.0,15.793743133544922,23.4,43.0
7.0,17.82107710838318,23.4,43.0
8.0,19.848861932754517,23.4,43.0
9.0,21.87635827064514,23.4,45.0
10.0,23.90763211250305,23.5,52.0
11.0,25.934930086135864,23.8,61.0
12.0,27.962547063827515,24.2,71.0
13.0,29.989553213119507,24.6,80.0
14.0,32.0212140083313,25.1,85.0
15.0,34.04881310462952,25.4,87.0
16.0,36.07633304595947,25.7,89.0
17.0,38.10348701477051,26.0,91.0
18.0,40.130810260772705,26.4,93.0
19.0,42.16262412071228,26.9,96.0
20.0,44.190038204193115,27.4,97.0
21.0,46.21746826171875,27.8,98.0
22.0,48.24493598937988,28.0,98.0
23.0,50.27632713317871,28.1,98.0
24.0,52.303590297698975,28.1,98.0
25.0,54.33118009567261,28.1,98.0
26.0,56.35863018035889,28.0,98.0
27.0,58.38605713844299,27.9,98.0
28.0,60.417479276657104,27.7,98.0
29.0,62.44468092918396,27.5,98.0
30.0,64.47238111495972,27.4,98.0
31.0,66.49984002113342,27.2,98.0
32.0,68.52724409103394,27.0,97.0
33.0,70.55847716331482,26.9,97.0
34.0,72.58609628677368,26.7,97.0
35.0,74.61340808868408,26.6,97.0
36.0,76.640949010849,26.4,97.0
37.0,78.67227506637573,26.3,97.0
38.0,80.69988512992859,26.2,97.0
39.0,82.72726917266846,26.1,97.0
40.0,84.75465822219849,25.9,97.0
41.0,86.78186321258545,25.8,96.0
42.0,88.81332206726074,25.7,96.0
43.0,90.84082818031311,25.6,96.0
44.0,92.86815428733826,25.5,96.0
45.0,94.89583110809326,25.4,95.0
46.0,96.92706513404846,25.4,95.0
47.0,98.95445823669434,25.3,95.0
48.0,100.98173427581787,25.2,94.0
49.0,103.00954222679138,25.1,94.0
50.0,105.04074811935425,25.1,93.0
51.0,107.06806826591492,25.0,92.0
52.0,109.09584426879883,24.9,89.0
53.0,111.12326717376709,24.8,86.0
54.0,113.15070104598999,24.8,83.0
55.0,115.18218493461609,24.7,81.0
56.0,117.20956230163574,24.7,79.0
57.0,119.23698210716248,24.6,78.0
58.0,121.26439118385315,24.6,76.0
59.0,123.295902967453,24.6,74.0
60.0,125.32333207130432,24.6,72.0
61.0,127.35068416595459,24.6,70.0
62.0,129.37805795669556,24.6,68.0
63.0,131.40525913238525,24.5,67.0
64.0,133.43296217918396,24.5,65.0
65.0,135.46429014205933,24.5,63.0
66.0,137.49175190925598,24.5,62.0
67.0,139.51894211769104,24.5,60.0
68.0,141.54667496681213,24.5,59.0
69.0,143.57814621925354,24.5,58.0
70.0,145.6051950454712,24.5,57.0
71.0,147.6328330039978,24.4,56.0
72.0,149.66022205352783,24.4,55.0
73.0,151.68773913383484,24.4,55.0
74.0,153.71899127960205,24.4,54.0
75.0,155.7464210987091,24.4,53.0
76.0,157.77396416664124,24.4,53.0
77.0,159.80156207084656,24.4,52.0
78.0,161.8286280632019,24.4,51.0
79.0,163.8604233264923,24.4,51.0
80.0,165.88787627220154,24.4,51.0
81.0,167.91509318351746,24.4,50.0
82.0,169.9427261352539,24.4,50.0
83.0,171.97008204460144,24.3,49.0
84.0,174.00138401985168,24.3,49.0
85.0,176.02868008613586,24.3,49.0
86.0,178.05618619918823,24.3,49.0
87.0,180.08369731903076,24.3,48.0
88.0,182.11094403266907,24.3,48.0
89.0,184.14240527153015,24.3,48.0
90.0,186.16988921165466,24.3,48.0
91.0,188.19738125801086,24.3,47.0
92.0,190.2246630191803,24.3,47.0
93.0,192.25199913978577,24.3,47.0
94.0,194.28354620933533,24.3,47.0
95.0,196.31129217147827,24.3,47.0
96.0,198.33840799331665,24.2,47.0
97.0,200.3660101890564,24.2,47.0
98.0,202.39732003211975,24.2,46.0
99.0,204.42465114593506,24.2,46.0
100.0,206.45246005058289,24.2,46.0
101.0,208.47960233688354,24.2,46.0
102.0,210.5069031715393,24.2,46.0
103.0,212.53457713127136,24.2,46.0
104.0,214.566082239151,24.2,46.0
105.0,216.59363627433777,24.2,46.0
106.0,218.62090229988098,24.2,46.0
107.0,220.64840126037598,24.2,46.0
108.0,222.67557406425476,24.2,45.0
109.0,224.70726418495178,24.2,45.0
110.0,226.73438119888306,24.2,45.0
111.0,228.7618441581726,24.2,45.0
112.0,230.78920722007751,24.2,45.0
113.0,232.81700110435486,24.2,45.0
114.0,234.84807705879211,24.2,45.0
115.0,236.8759322166443,24.2,45.0
116.0,238.9029450416565,24.1,45.0
117.0,240.93032908439636,24.1,45.0
118.0,242.95811104774475,24.1,45.0
119.0,244.98953294754028,24.1,45.0
120.0,247.0166552066803,24.1,45.0
121.0,249.04444122314453,24.1,45.0
122.0,251.07175397872925,24.1,45.0
123.0,253.09924817085266,24.1,45.0
124.0,255.13071417808533,24.1,45.0
125.0,257.1576929092407,24.1,45.0
126.0,259.18532824516296,24.1,45.0
127.0,261.21283411979675,24.1,45.0
128.0,263.2401351928711,24.1,45.0
129.0,265.2718222141266,24.1,45.0
130.0,267.2991831302643,24.1,45.0
131.0,269.32681703567505,24.1,45.0
132.0,271.3541769981384,24.1,45.0
133.0,273.3815920352936,24.0,45.0
134.0,275.40897727012634,24.0,45.0
135.0,277.44035625457764,24.0,45.0
136.0,279.4677860736847,24.0,45.0
137.0,281.4949231147766,24.0,44.0
138.0,283.5226571559906,24.0,44.0
139.0,285.5501251220703,24.0,44.0
140.0,287.57734417915344,24.0,44.0
141.0,289.6086690425873,24.0,44.0
142.0,291.63605523109436,24.0,44.0
143.0,293.66362023353577,24.0,44.0
144.0,295.69086623191833,24.0,44.0
145.0,297.71866393089294,24.0,44.0
146.0,299.74596524238586,24.0,44.0
147.0,301.7775139808655,24.0,44.0
148.0,303.80472111701965,24.0,44.0
149.0,305.8321783542633,24.0,44.0
150.0,307.8596911430359,24.0,44.0
151.0,309.887216091156,24.0,44.0
152.0,311.9145972728729,24.0,44.0
153.0,313.94174313545227,24.0,44.0
154.0,315.973521232605,24.0,45.0
155.0,318.0008020401001,24.0,45.0
156.0,320.02818512916565,23.9,45.0
157.0,322.0555510520935,23.9,45.0
158.0,324.08686327934265,23.9,45.0
159.0,326.1143841743469,23.9,45.0
160.0,328.1417090892792,23.9,45.0
161.0,330.1695191860199,23.9,45.0
162.0,332.200560092926,23.9,45.0
163.0,334.2280399799347,23.9,45.0
164.0,336.25583696365356,23.9,44.0
165.0,338.2832362651825,23.9,44.0
166.0,340.3104581832886,23.9,44.0
167.0,342.34211111068726,23.9,44.0
168.0,344.36954402923584,23.9,44.0
169.0,346.3970220088959,23.9,44.0
170.0,348.424378156662,23.9,44.0
171.0,350.45582008361816,23.9,44.0
172.0,352.48326301574707,23.9,44.0
173.0,354.51026821136475,23.9,44.0
174.0,356.5381031036377,23.9,44.0
175.0,358.5692102909088,23.9,44.0
176.0,360.59669399261475,23.9,44.0
177.0,362.62440395355225,23.9,44.0
178.0,364.65146231651306,23.9,44.0
179.0,366.6791322231293,23.9,44.0
180.0,368.71045112609863,23.9,44.0
181.0,370.7380700111389,23.9,43.0
182.0,372.7655460834503,23.9,43.0
183.0,374.79281210899353,23.9,43.0
184.0,376.824431180954,23.9,43.0
185.0,378.8517451286316,23.9,43.0
186.0,380.879182100296,23.9,43.0
187.0,382.9063649177551,23.9,43.0
188.0,384.9381802082062,23.9,43.0
189.0,386.96549916267395,23.9,43.0
190.0,388.9926800727844,23.9,43.0
191.0,391.0204510688782,23.9,43.0
192.0,393.0517601966858,23.9,43.0
193.0,395.07925820350647,23.9,43.0
194.0,397.1067750453949,23.9,43.0
195.0,399.1342451572418,23.9,43.0
196.0,401.1656472682953,23.9,43.0
197.0,403.1930990219116,23.9,43.0
198.0,405.22047305107117,23.9,43.0
199.0,407.2476851940155,23.9,43.0
200.0,409.2791180610657,23.9,43.0
201.0,411.3066141605377,23.9,43.0
202.0,413.33430314064026,23.9,43.0
203.0,415.3616602420807,23.8,43.0
204.0,417.38905906677246,23.8,43.0
205.0,419.42033529281616,23.8,43.0
206.0,421.4478302001953,23.8,43.0
207.0,423.47536516189575,23.8,43.0
208.0,425.50262808799744,23.8,43.0
209.0,427.5342390537262,23.8,43.0
210.0,429.56166410446167,23.8,43.0
211.0,431.5891101360321,23.8,43.0
212.0,433.61659598350525,23.8,43.0
213.0,435.6438159942627,23.8,43.0
214.0,437.6750771999359,23.8,43.0
215.0,439.70254015922546,23.8,43.0
216.0,441.73031401634216,23.8,44.0
217.0,443.7577369213104,23.8,44.0
218.0,445.7889940738678,23.8,44.0
219.0,447.8163871765137,23.8,44.0
220.0,449.84395122528076,23.8,44.0
221.0,451.8710472583771,23.8,44.0
222.0,453.9027500152588,23.8,43.0
223.0,455.9303421974182,23.8,43.0
224.0,457.95771503448486,23.8,43.0
225.0,459.98505306243896,23.8,43.0
226.0,462.0125541687012,23.8,43.0
227.0,464.04392194747925,23.9,43.0
228.0,466.0714831352234,23.9,43.0
229.0,468.0988652706146,23.8,43.0
230.0,470.126353263855,23.8,43.0
231.0,472.1576941013336,23.8,43.0
232.0,474.1848831176758,23.8,43.0
233.0,476.2126910686493,23.8,43.0
234.0,478.23980808258057,23.8,43.0
235.0,480.2673110961914,23.8,42.0
236.0,482.29853415489197,23.8,42.0
237.0,484.32590532302856,23.8,42.0
238.0,486.35384821891785,23.8,42.0
239.0,488.3809940814972,23.8,42.0
240.0,490.4125199317932,23.8,42.0
241.0,492.43968510627747,23.8,42.0
242.0,494.4674701690674,23.8,42.0
243.0,496.49489998817444,23.8,42.0
244.0,498.52237701416016,23.8,42.0
245.0,500.5537610054016,23.8,42.0
246.0,502.58118414878845,23.8,42.0
247.0,504.60852217674255,23.8,43.0
248.0,506.63608598709106,23.8,43.0
249.0,508.6632282733917,23.8,43.0
250.0,510.6949429512024,23.8,43.0
251.0,512.7223932743073,23.8,43.0
