Counter,Time (s),Temperature (C),Relative Humidity (%)
0.0,1.7964012622833252,23.1,45.0
1.0,3.823773145675659,23.1,45.0
2.0,5.851229190826416,23.1,45.0
3.0,7.8785810470581055,23.1,45.0
4.0,9.91011905670166,23.1,45.0
5.0,11.937525033950806,23.1,45.0
6.0,13.964877128601074,23.1,45.0
7.0,15.992470026016235,23.1,45.0
8.0,18.01966619491577,23.1,45.0
9.0,20.051167964935303,23.1,45.0
10.0,22.078660011291504,23.1,45.0
11.0,24.106203079223633,23.1,45.0
12.0,26.13368320465088,23.1,45.0
13.0,28.16518497467041,23.1,45.0
14.0,30.192557096481323,23.1,45.0
15.0,32.220073223114014,23.1,45.0
16.0,34.24726128578186,23.1,45.0
17.0,36.274702072143555,23.1,45.0
18.0,38.3062949180603,23.1,45.0
19.0,40.333667039871216,23.1,45.0
20.0,42.36106014251709,23.1,45.0
21.0,44.38851189613342,23.1,45.0
22.0,46.41987609863281,23.1,45.0
23.0,48.44749903678894,23.1,45.0
24.0,50.47491502761841,23.1,45.0
25.0,52.5023353099823,23.1,45.0
26.0,54.529808044433594,23.1,45.0
27.0,56.56118106842041,23.1,45.0
28.0,58.588603019714355,23.1,45.0
29.0,60.61587309837341,23.1,45.0
30.0,62.64334011077881,23.1,45.0
31.0,64.67473816871643,23.1,45.0
32.0,66.70237302780151,23.1,45.0
33.0,68.72986698150635,23.1,45.0
34.0,70.75743508338928,23.1,45.0
35.0,72.78445792198181,23.1,45.0
36.0,74.81589221954346,23.1,45.0
37.0,76.84327816963196,23.1,45.0
38.0,78.8707492351532,23.1,45.0
39.0,80.89814114570618,23.1,45.0
40.0,82.92960810661316,23.1,45.0
41.0,84.95712518692017,23.1,45.0
42.0,86.98452806472778,23.1,45.0
43.0,89.01206016540527,23.1,45.0
44.0,91.03946709632874,23.1,45.0
45.0,93.07088112831116,23.1,45.0
46.0,95.09819793701172,23.1,45.0
47.0,97.1256492137909,23.1,45.0
48.0,99.15353512763977,23.1,45.0
49.0,101.18488121032715,23.1,45.0
50.0,103.21243119239807,23.1,45.0
51.0,105.23949790000916,23.1,45.0
52.0,107.2669632434845,23.1,45.0
53.0,109.29473519325256,23.1,45.0
54.0,111.32597708702087,23.1,45.0
55.0,113.35361623764038,23.1,45.0
56.0,115.38101696968079,23.1,45.0
57.0,117.40847206115723,23.1,45.0
58.0,119.43964624404907,23.1,45.0
59.0,121.4674060344696,23.1,45.0
60.0,123.49476909637451,23.1,45.0
61.0,125.52218794822693,23.1,46.0
62.0,127.54962825775146,23.2,46.0
63.0,129.5810570716858,23.2,46.0
64.0,131.60850620269775,23.2,46.0
65.0,133.63579201698303,23.2,46.0
66.0,135.6633641719818,23.2,46.0
67.0,137.69455194473267,23.2,46.0
68.0,139.72220730781555,23.2,46.0
69.0,141.74933218955994,23.2,46.0
70.0,143.7771291732788,23.2,46.0
71.0,145.80854511260986,23.2,46.0
72.0,147.83581709861755,23.2,46.0
73.0,149.86329007148743,23.2,46.0
74.0,151.89087414741516,23.3,46.0
75.0,153.91828513145447,23.3,46.0
76.0,155.94961094856262,23.3,46.0
77.0,157.97716116905212,23.3,46.0
78.0,160.004625082016,23.3,46.0
79.0,162.03204226493835,23.3,46.0
80.0,164.06345105171204,23.3,46.0
81.0,166.09049105644226,23.3,46.0
82.0,168.11810398101807,23.3,46.0
83.0,170.145339012146,23.3,46.0
84.0,172.17317295074463,23.3,46.0
85.0,174.20466923713684,23.3,46.0
86.0,176.23214721679688,23.3,46.0
87.0,178.25942015647888,23.3,46.0
88.0,180.2870330810547,23.4,46.0
89.0,182.31825923919678,23.4,46.0
90.0,184.3458559513092,23.4,46.0
91.0,186.37297201156616,23.4,46.0
92.0,188.40072107315063,23.4,47.0
93.0,190.42810225486755,23.4,47.0
94.0,192.4595730304718,23.4,47.0
95.0,194.48706102371216,23.4,47.0
96.0,196.51444816589355,23.5,47.0
97.0,198.5419840812683,23.5,47.0
98.0,200.5731520652771,23.5,47.0
99.0,202.6004409790039,23.5,47.0
100.0,204.62797808647156,23.5,47.0
101.0,206.6554570198059,23.5,47.0
102.0,208.6870572566986,23.5,47.0
103.0,210.7145640850067,23.6,47.0
104.0,212.74201798439026,23.6,46.0
105.0,214.76933598518372,23.6,46.0
106.0,216.80079817771912,23.6,46.0
107.0,218.8282811641693,23.6,46.0
108.0,220.85571599006653,23.6,46.0
109.0,222.88310503959656,23.6,46.0
110.0,224.91443610191345,23.7,46.0
111.0,226.94205117225647,23.7,46.0
112.0,228.9694790840149,23.7,46.0
113.0,230.99692010879517,23.7,46.0
114.0,233.02818608283997,23.7,47.0
115.0,235.05577206611633,23.7,47.0
116.0,237.08321404457092,23.7,47.0
117.0,239.1105682849884,23.7,47.0
118.0,241.14167022705078,23.8,47.0
119.0,243.1691131591797,23.8,47.0
120.0,245.1967511177063,23.8,47.0
121.0,247.22440600395203,23.8,47.0
122.0,249.2558400630951,23.8,47.0
123.0,251.28304624557495,23.8,47.0
124.0,253.31073212623596,23.9,47.0
125.0,255.3381643295288,23.9,46.0
126.0,257.3696360588074,23.9,46.0
127.0,259.3970820903778,23.9,46.0
128.0,261.4245491027832,23.9,46.0
129.0,263.4519190788269,23.9,46.0
130.0,265.4833390712738,23.9,46.0
131.0,267.5107681751251,23.9,46.0
132.0,269.53829407691956,23.9,46.0
133.0,271.5656843185425,24.0,46.0
134.0,273.597097158432,24.0,46.0
135.0,275.6244821548462,24.0,46.0
136.0,277.65177512168884,24.0,46.0
137.0,279.6794023513794,24.0,46.0
138.0,281.7068259716034,24.0,46.0
139.0,283.7342572212219,24.0,46.0
140.0,285.7652871608734,24.0,46.0
141.0,287.79311418533325,24.0,46.0
142.0,289.820298910141,24.0,46.0
143.0,291.84797525405884,24.0,46.0
144.0,293.8752040863037,24.0,46.0
145.0,295.9026732444763,24.0,46.0
146.0,297.9341642856598,24.0,46.0
147.0,299.9617991447449,24.0,46.0
148.0,301.988890171051,24.1,46.0
149.0,304.01630210876465,24.1,46.0
150.0,306.04387307167053,24.1,46.0
151.0,308.07532000541687,24.1,46.0
152.0,310.10288405418396,24.1,46.0
153.0,312.13031911849976,24.1,46.0
154.0,314.15779399871826,24.1,46.0
155.0,316.1892731189728,24.1,46.0
156.0,318.21638107299805,24.1,46.0
157.0,320.2440459728241,24.1,46.0
158.0,322.27140617370605,24.1,46.0
159.0,324.2987971305847,24.1,46.0
160.0,326.3301930427551,24.1,46.0
161.0,328.3578071594238,24.1,46.0
162.0,330.3850769996643,24.1,46.0
163.0,332.41265201568604,24.1,46.0
164.0,334.44015097618103,24.1,46.0
165.0,336.4715850353241,24.1,46.0
166.0,338.4990110397339,24.1,46.0
167.0,340.5264480113983,24.1,46.0
168.0,342.55383706092834,24.1,46.0
169.0,344.5808959007263,24.1,46.0
170.0,346.6125991344452,24.1,46.0
171.0,348.6401960849762,24.1,46.0
172.0,350.66758918762207,24.1,46.0
173.0,352.6946699619293,24.1,46.0
174.0,354.72248005867004,24.1,46.0
175.0,356.7539231777191,24.2,46.0
176.0,358.7813370227814,24.2,46.0
177.0,360.8087532520294,24.2,46.0
178.0,362.8361542224884,24.2,46.0
179.0,364.8636300563812,24.2,46.0
180.0,366.89512610435486,24.2,46.0
181.0,368.9224600791931,24.2,46.0
182.0,370.9499270915985,24.2,46.0
183.0,372.97734904289246,24.2,46.0
184.0,375.0048711299896,24.2,46.0
185.0,377.0321900844574,24.2,46.0
186.0,379.0636899471283,24.2,46.0
187.0,381.0909140110016,24.2,46.0
188.0,383.1186192035675,24.2,46.0
189.0,385.145632982254,24.2,46.0
190.0,387.1733911037445,24.2,46.0
191.0,389.2048099040985,24.2,46.0
192.0,391.2320771217346,24.2,46.0
193.0,393.2592439651489,24.2,46.0
194.0,395.28665709495544,24.2,46.0
195.0,397.3143742084503,24.2,46.0
196.0,399.34599113464355,24.2,46.0
197.0,401.37344002723694,24.2,46.0
198.0,403.40085005760193,24.2,46.0
199.0,405.42833399772644,24.2,46.0
200.0,407.4556920528412,24.2,46.0
201.0,409.48299527168274,24.2,46.0
202.0,411.51452016830444,24.2,46.0
203.0,413.54178190231323,24.2,46.0
204.0,415.5694441795349,24.2,46.0
205.0,417.59669613838196,24.2,46.0
206.0,419.62435817718506,24.2,46.0
207.0,421.6558041572571,24.2,46.0
208.0,423.6832072734833,24.2,46.0
209.0,425.71063017845154,24.2,46.0
210.0,427.73797821998596,24.2,46.0
211.0,429.765065908432,24.2,46.0
212.0,431.79291701316833,24.2,46.0
213.0,433.8243088722229,24.2,46.0
214.0,435.8513481616974,24.2,46.0
215.0,437.8790602684021,24.2,46.0
216.0,439.9065399169922,24.2,46.0
217.0,441.9336361885071,24.2,46.0
218.0,443.9652819633484,24.2,46.0
219.0,445.992573261261,24.2,46.0
220.0,448.0201361179352,24.2,46.0
221.0,450.04763317108154,24.2,46.0
222.0,452.0748610496521,24.2,46.0
223.0,454.10637521743774,24.2,46.0
224.0,456.13375306129456,24.2,46.0
225.0,458.16127610206604,24.2,46.0
226.0,460.18878507614136,24.2,46.0
227.0,462.2160370349884,24.2,46.0
228.0,464.24343490600586,24.2,46.0
229.0,466.27515411376953,24.2,46.0
230.0,468.30227613449097,24.2,46.0
231.0,470.3298580646515,24.2,46.0
232.0,472.35751128196716,24.2,46.0
233.0,474.384681224823,24.2,46.0
234.0,476.41613006591797,24.2,46.0
235.0,478.4434700012207,24.2,46.0
236.0,480.471271276474,24.2,46.0
237.0,482.4987199306488,24.2,46.0
238.0,484.52606892585754,24.2,46.0
239.0,486.55760192871094,24.2,46.0
240.0,488.5849950313568,24.2,46.0
241.0,490.6122901439667,24.2,46.0
242.0,492.6393949985504,24.2,46.0
243.0,494.6670231819153,24.2,46.0
244.0,496.69423604011536,24.2,46.0
245.0,498.725781917572,24.2,46.0
246.0,500.75336813926697,24.2,46.0
247.0,502.7807011604309,24.2,46.0
248.0,504.80833315849304,24.2,46.0
249.0,506.8356771469116,24.2,46.0
250.0,508.86709213256836,24.2,46.0
251.0,510.8944160938263,24.2,46.0
252.0,512.9221339225769,24.2,46.0
253.0,514.9495711326599,24.2,46.0
254.0,516.9767231941223,24.2,46.0
255.0,519.0044710636139,24.2,46.0
256.0,521.0355281829834,24.2,46.0
257.0,523.0631852149963,24.2,46.0
258.0,525.0905661582947,24.2,46.0
259.0,527.1180231571198,24.2,46.0
260.0,529.1453051567078,24.2,46.0
261.0,531.17675614357,24.2,46.0
262.0,533.204174041748,24.2,46.0
263.0,535.2317991256714,24.2,46.0
264.0,537.2591700553894,24.2,46.0
265.0,539.2864091396332,24.2,46.0
266.0,541.3139770030975,24.2,46.0
267.0,543.3452341556549,24.2,46.0
268.0,545.3725991249084,24.2,46.0
269.0,547.4002389907837,24.2,46.0
270.0,549.4277381896973,24.2,46.0
271.0,551.4552869796753,24.2,46.0
272.0,553.48677110672,24.2,46.0
273.0,555.5141313076019,24.2,46.0
274.0,557.5412981510162,24.2,46.0
275.0,559.5688831806183,24.2,46.0
276.0,561.5961241722107,24.2,46.0
277.0,563.6276261806488,24.2,46.0
278.0,565.6553201675415,24.2,46.0
279.0,567.6825342178345,24.2,46.0
280.0,569.7099099159241,24.2,46.0
281.0,571.7374610900879,24.2,46.0
282.0,573.7648150920868,24.2,46.0
283.0,575.7961871623993,24.2,46.0
284.0,577.8238921165466,24.2,46.0
285.0,579.8510050773621,24.2,46.0
286.0,581.8785042762756,24.1,46.0
287.0,583.9061312675476,24.1,46.0
288.0,585.9376301765442,24.1,46.0
289.0,587.9648959636688,24.1,46.0
290.0,589.9922211170197,24.1,46.0
291.0,592.019923210144,24.1,46.0
292.0,594.0472130775452,24.1,46.0
293.0,596.0786790847778,24.1,46.0
294.0,598.1061689853668,24.1,46.0
295.0,600.1333220005035,24.1,46.0
296.0,602.160756111145,24.1,46.0
297.0,604.1922471523285,24.1,46.0
298.0,606.2199110984802,24.1,46.0
299.0,608.2470281124115,24.1,46.0
