Resistance Uncertainty,Resistance,Digits of resistance,Voltage,Voltage Uncertainty
999999,1E+14,0,9.52,0.0676
11960,996000,3,9.52,0.0676
21940,1994000,4,9.52,0.0676
998.4,99800,3,9.54,0.0677
99.84,9980,3,9.49,0.06745
9.984,998,3,9.27,0.06635
17.936,1992,4,9.36,0.0668
60.72,5090,3,9.45,0.06725
68.72,6090,3,9.47,0.06735
4.624,328,3,9.05,0.06525
12.616,1327,4,9.32,0.0666
3.752,219,3,8.93,0.06465
6.384,548,3,9.18,0.0659
1.004,100.5,4,8.55,0.06275
1.1648,120.6,4,8.65,0.06325
0.444,30.5,3,7.33,0.05665
0.6064,50.8,3,7.96,0.0598
0.364,20.5,3,6.62,0.0531
0.5256,40.7,3,7.7,0.0585
0.444,30.5,3,7.31,0.05655
1.4064,150.8,4,8.78,0.0639
0.6856,60.7,3,8.14,0.0607
0.7656,70.7,3,8.28,0.0614
0.2808,10.1,3,5.24,0.0462
0.24,5,2,3.63,0.03815
0.2272,3.4,2,2.74,0.0337
0.2208,2.6,2,2.33,0.03165
0.2104,1.3,2,1.331,0.008655
0.208,1,2,1.182,0.00791
0.324,15.5,3,5.94,0.0497
0.2616,7.7,2,4.48,0.0424
